;IdSensore;Tipologia;Unità DiMisura;IdStazione;NomeStazione;Quota;Provincia;DataStart;DataStop;Storico;UTM_Nord;UTM_Est;lng;lat;location;Valore;DATE_TIME
166;4066;Temperatura;°C;148;Arconate SMR;182;MI;02/07/2002;;N;5043898;488082;8.847321929216262;45.54851735741946;(45.54851735741946, 8.847321929216262);30.1;2016-08-06 16:50:00
178;4082;Temperatura;°C;150;Pieve San Giacomo;39;CR;04/07/2002;;N;4997168;593999;10.195182889569637;45.121730206732785;(45.121730206732785, 10.195182889569637);30.7;2016-08-06 16:50:00
163;5121;Temperatura;°C;166;Mantova Lunetta2 SMR;25;MN;15/02/2006;;N;5002119;643358;10.823931433968092;45.15798527818925;(45.157985278189244, 10.823931433968092);29.5;2016-08-06 16:50:00
30;5864;Temperatura;°C;594;Bergamo v.Goisis;290;BG;13/09/1996;;N;5062715;553620;9.688958745309764;45.715912469852206;(45.715912469852206, 9.688958745309764);26.2;2016-08-06 16:50:00
28;5868;Temperatura;°C;586;Costa Volpino;192;BG;26/07/1993;;N;5075429;585212;10.097061724186311;45.82715793876258;(45.82715793876258, 10.09706172418631);28.5;2016-08-06 16:50:00
34;5871;Temperatura;°C;564;Erba v. Battisti;279;CO;21/02/2009;;N;5072803;517232;9.221779204488437;45.80857380692297;(45.808573806922965, 9.221779204488435);28.9;2016-08-06 16:50:00
1;5883;Temperatura;°C;575;Nibionno;310;LC;03/12/2002;;N;5066429;520613;9.265020964805544;45.75111126161782;(45.751111261617815, 9.265020964805544);28.4;2016-08-06 16:50:00
143;5895;Temperatura;°C;530;Agrate Brianza;162;MB;25/03/1992;;N;5046977;527628;9.354105650819204;45.575784759228064;(45.57578475922807, 9.354105650819204);27.0;2016-08-06 16:50:00
93;5897;Temperatura;°C;620;Milano v.Brera;122;MI;19/03/1990;;N;5035365;514782;9.189110383708842;45.471656293243036;(45.47165629324304, 9.189110383708842);30.6;2016-08-06 16:50:00
22;5903;Temperatura;°C;525;Corsico;119;MI;12/02/1997;;N;5031403;507619;9.097410841871476;45.43610851009912;(45.43610851009912, 9.097410841871474);28.2;2016-08-06 16:50:00
36;5909;Temperatura;°C;502;Milano v.Juvara;122;MI;01/01/1989;;N;5035546;517377;9.222315138737466;45.473225708577175;(45.473225708577175, 9.222315138737468);27.9;2016-08-06 16:50:00
77;5910;Temperatura;°C;535;Lacchiarella;97;MI;15/09/1998;;N;5019010;510542;9.134517264199276;45.32451741284727;(45.32451741284727, 9.134517264199278);27.3;2016-08-06 16:50:00
40;5911;Temperatura;°C;501;Milano v.Marche;129;MI;01/01/1989;;N;5038105;514918;9.190933555313624;45.496316443651025;(45.49631644365102, 9.190933555313624);28.0;2016-08-06 16:50:00
139;5920;Temperatura;°C;503;Milano P.zza Zavattari;122;MI;01/01/1989;;N;5035847;511082;9.141786267186658;45.476063405097904;(45.47606340509791, 9.141786267186658);28.2;2016-08-06 16:50:00
151;5935;Temperatura;°C;555;Busto Arsizio v.Magenta;222;VA;25/05/1991;;N;5050810;488313;8.850115752092071;45.610736040012604;(45.610736040012604, 8.850115752092071);27.2;2016-08-06 16:50:00
144;5939;Temperatura;°C;557;Lonate Pozzolo v.Veneto;204;VA;13/12/1996;;N;5048975;479783;8.7407965765392;45.594023517108575;(45.59402351710858, 8.7407965765392);27.4;2016-08-06 16:50:00
171;5941;Temperatura;°C;559;Somma Lombardo;210;VA;20/03/2000;;N;5055150;477613;8.712691458284791;45.649537127292405;(45.649537127292405, 8.71269145828479);28.3;2016-08-06 16:50:00
43;5947;Temperatura;°C;552;Varese v.Vidoletti;425;VA;30/12/1991;;N;5075945;484773;8.803926126674948;45.83690077655548;(45.83690077655548, 8.80392612667495);25.9;2016-08-06 16:50:00
82;5969;Temperatura;°C;629;Crema v.XI febbraio;79;CR;01/08/1992;;N;5023885;555127;9.703945513613167;45.36630907819434;(45.366309078194334, 9.703945513613167);29.6;2016-08-06 16:50:00
3;6698;Temperatura;°C;642;Pavia v. Folperti;77;PV;01/06/2002;;N;5004590;512932;9.164638300630086;45.19467609907785;(45.19467609907785, 9.164638300630086);29.6;2016-08-06 16:50:00
131;6795;Temperatura;°C;653;Brescia v.Ziziola;125;BS;17/10/1997;;N;5040836;595170;10.218463502801264;45.51455919056731;(45.51455919056731, 10.218463502801265);28.6;2016-08-06 16:50:00
97;6823;Temperatura;°C;656;Gambara;47;BS;01/01/1990;;N;5011493;601945;10.299119496064078;45.249543624746245;(45.24954362474624, 10.299119496064078);28.2;2016-08-06 16:50:00
134;6834;Temperatura;°C;657;Lonato del Garda;180;BS;01/01/1990;;N;5035536;615762;10.480772043571283;45.46375313621026;(45.463753136210265, 10.480772043571283);27.5;2016-08-06 16:50:00
105;6849;Temperatura;°C;659;Odolo;349;BS;08/10/1990;;N;5055661;608260;10.389295302791961;45.646049633725255;(45.64604963372525, 10.38929530279196);26.5;2016-08-06 16:50:00
132;7029;Temperatura;°C;687;Ferno;215;VA;05/11/2006;;N;5051773;481053;8.756970445453431;45.61924377994763;(45.61924377994763, 8.756970445453431);28.3;2016-08-06 16:50:00
155;8002;Temperatura;°C;855;Varzi v.Mazzini;485;PV;01/01/1998;;N;4963189;515657;9.198041879809713;44.82193482377759;(44.82193482377759, 9.198041879809711);26.8;2016-08-06 16:50:00
24;8005;Temperatura;°C;857;Santa Margherita di Staffora Passo del Giovà;1363;PV;01/01/1998;;N;4947488;517391;9.219439206303576;44.6805502848388;(44.6805502848388, 9.219439206303575);17.4;2016-08-06 16:50:00
184;8007;Temperatura;°C;856;Fortunago;501;PV;01/01/1998;;N;4973248;515391;9.19498278361842;44.912492583318645;(44.91249258331864, 9.19498278361842);25.8;2016-08-06 16:50:00
51;8008;Temperatura;°C;835;Valdisotto Oga S. Colombano;2300;SO;01/01/1995;;N;5145272;600293;10.305951823970043;46.45356305894081;(46.45356305894081, 10.305951823970043);9.8;2016-08-06 16:50:00
