DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;0;1;2;3;4;5
2;3;2015;70,3390625;66,503125;62,20104167;45,88177083;71,3234375;59,8890625;4;;;;;;;;
3;3;2015;66,503125;62,20104167;45,88177083;71,3234375;59,8890625;65,975;6;;;;;;;;
4;3;2015;62,20104167;45,88177083;71,3234375;59,8890625;65,975;72,40729167;5;;;;;;;;
5;3;2015;45,88177083;71,3234375;59,8890625;65,975;72,40729167;84,53125;2;;;;;;;;
6;3;2015;71,3234375;59,8890625;65,975;72,40729167;84,53125;92,26875;3;;;;;;;;
7;3;2015;59,8890625;65,975;72,40729167;84,53125;92,26875;62,12447917;2;;;;;;;;
8;3;2015;65,975;72,40729167;84,53125;92,26875;62,12447917;76,653125;3;;;;;;;;
9;3;2015;72,40729167;84,53125;92,26875;62,12447917;76,653125;53,6453125;4;;;;;;;;
10;3;2015;84,53125;92,26875;62,12447917;76,653125;53,6453125;38,46979167;5;;;;;;;;
11;3;2015;92,26875;62,12447917;76,653125;53,6453125;38,46979167;61,90052083;10;;;;;;;;
12;3;2015;62,12447917;76,653125;53,6453125;38,46979167;61,90052083;78,62291667;3;;;;;;;;
13;3;2015;76,653125;53,6453125;38,46979167;61,90052083;78,62291667;71,8453125;4;;;;;;;;
14;3;2015;53,6453125;38,46979167;61,90052083;78,62291667;71,8453125;73,7890625;4;;;;;;;;
15;3;2015;38,46979167;61,90052083;78,62291667;71,8453125;73,7890625;67,94712042;3;;;;;;;;
16;3;2015;61,90052083;78,62291667;71,8453125;73,7890625;67,94712042;51,29375;4;;;;;;;;
17;3;2015;78,62291667;71,8453125;73,7890625;67,94712042;51,29375;44,56145833;3;;;;;;;;
18;3;2015;71,8453125;73,7890625;67,94712042;51,29375;44,56145833;64,79197861;5;;;;;;;;
19;3;2015;73,7890625;67,94712042;51,29375;44,56145833;64,79197861;71,325;5;;;;;;;;
20;3;2015;67,94712042;51,29375;44,56145833;64,79197861;71,325;60,17083333;2;;;;;;;;
21;3;2015;51,29375;44,56145833;64,79197861;71,325;60,17083333;50,43385417;2;;;;;;;;
22;3;2015;44,56145833;64,79197861;71,325;60,17083333;50,43385417;46,94739583;2;;;;;;;;
23;3;2015;64,79197861;71,325;60,17083333;50,43385417;46,94739583;56,26302083;11;;;;;;;;
24;3;2015;71,325;60,17083333;50,43385417;46,94739583;56,26302083;55,8859375;10;;;;;;;;
25;3;2015;60,17083333;50,43385417;46,94739583;56,26302083;55,8859375;48,22395833;1;;;;;;;;
26;3;2015;50,43385417;46,94739583;56,26302083;55,8859375;48,22395833;48,27291667;1;;;;;;;;
27;3;2015;46,94739583;56,26302083;55,8859375;48,22395833;48,27291667;30,54136126;1;;;;;;;;
28;3;2015;56,26302083;55,8859375;48,22395833;48,27291667;30,54136126;49,50729167;8;;;;;;;;
29;3;2015;55,8859375;48,22395833;48,27291667;30,54136126;49,50729167;41,90260417;4;;;;;;;;
30;3;2015;48,22395833;48,27291667;30,54136126;49,50729167;41,90260417;33,65885417;1;;;;;;;;
31;3;2015;48,27291667;30,54136126;49,50729167;41,90260417;33,65885417;24,39585799;7;;;;;;;;
1;4;2015;30,54136126;49,50729167;41,90260417;33,65885417;24,39585799;28,99947644;5;;;;;;;;
2;4;2015;49,50729167;41,90260417;33,65885417;24,39585799;28,99947644;48,4765625;2;;;;;;;;
3;4;2015;41,90260417;33,65885417;24,39585799;28,99947644;48,4765625;71,4984375;3;;;;;;;;
4;4;2015;33,65885417;24,39585799;28,99947644;48,4765625;71,4984375;73,84318182;3;;;;;;;;
5;4;2015;24,39585799;28,99947644;48,4765625;71,4984375;73,84318182;68,1577381;0;;;;;;;;
6;4;2015;28,99947644;48,4765625;71,4984375;73,84318182;68,1577381;46,85714286;3;;;;;;;;
7;4;2015;48,4765625;71,4984375;73,84318182;68,1577381;46,85714286;48,90059524;8;;;;;;;;
8;4;2015;71,4984375;73,84318182;68,1577381;46,85714286;48,90059524;71,20416667;3;;;;;;;;
9;4;2015;73,84318182;68,1577381;46,85714286;48,90059524;71,20416667;71,15121951;5;;;;;;;;
10;4;2015;68,1577381;46,85714286;48,90059524;71,20416667;71,15121951;67,99382716;4;;;;;;;;
11;4;2015;46,85714286;48,90059524;71,20416667;71,15121951;67,99382716;50,89137931;6;;;;;;;;
12;4;2015;48,90059524;71,20416667;71,15121951;67,99382716;50,89137931;57,16979167;3;;;;;;;;
13;4;2015;71,20416667;71,15121951;67,99382716;50,89137931;57,16979167;42,83315508;4;;;;;;;;
14;4;2015;71,15121951;67,99382716;50,89137931;57,16979167;42,83315508;29,30740741;4;;;;;;;;
15;4;2015;67,99382716;50,89137931;57,16979167;42,83315508;29,30740741;64,7828877;3;;;;;;;;
16;4;2015;50,89137931;57,16979167;42,83315508;29,30740741;64,7828877;75,52670157;4;;;;;;;;
17;4;2015;57,16979167;42,83315508;29,30740741;64,7828877;75,52670157;63,04065934;3;;;;;;;;
18;4;2015;42,83315508;29,30740741;64,7828877;75,52670157;63,04065934;33,5125;0;;;;;;;;
19;4;2015;29,30740741;64,7828877;75,52670157;63,04065934;33,5125;41,3754491;2;;;;;;;;
20;4;2015;64,7828877;75,52670157;63,04065934;33,5125;41,3754491;39,42206897;2;;;;;;;;
21;4;2015;75,52670157;63,04065934;33,5125;41,3754491;39,42206897;41,94513889;4;;;;;;;;
22;4;2015;63,04065934;33,5125;41,3754491;39,42206897;41,94513889;48,94513889;4;;;;;;;;
23;4;2015;33,5125;41,3754491;39,42206897;41,94513889;48,94513889;43,57013889;4;;;;;;;;
24;4;2015;41,3754491;39,42206897;41,94513889;48,94513889;43,57013889;45,97569444;3;;;;;;;;
25;4;2015;39,42206897;41,94513889;48,94513889;43,57013889;45,97569444;41,58391608;2;;;;;;;;
26;4;2015;41,94513889;48,94513889;43,57013889;45,97569444;41,58391608;46,59583333;4;;;;;;;;
27;4;2015;48,94513889;43,57013889;45,97569444;41,58391608;46,59583333;31,00416667;4;;;;;;;;
28;4;2015;43,57013889;45,97569444;41,58391608;46,59583333;31,00416667;37,11458333;5;;;;;;;;
29;4;2015;45,97569444;41,58391608;46,59583333;31,00416667;37,11458333;58,87708333;2;;;;;;;;
30;4;2015;41,58391608;46,59583333;31,00416667;37,11458333;58,87708333;52,74236111;4;;;;;;;;
1;5;2015;46,59583333;31,00416667;37,11458333;58,87708333;52,74236111;59,08819444;4;;;;;;;;
2;5;2015;31,00416667;37,11458333;58,87708333;52,74236111;59,08819444;45,16597222;2;;;;;;;;
3;5;2015;37,11458333;58,87708333;52,74236111;59,08819444;45,16597222;62,125;2;;;;;;;;
4;5;2015;58,87708333;52,74236111;59,08819444;45,16597222;62,125;48,64652778;3;;;;;;;;
5;5;2015;52,74236111;59,08819444;45,16597222;62,125;48,64652778;46,63888889;8;;;;;;;;
6;5;2015;59,08819444;45,16597222;62,125;48,64652778;46,63888889;66,85642857;6;;;;;;;;
7;5;2015;45,16597222;62,125;48,64652778;46,63888889;66,85642857;54,80909091;1;;;;;;;;
8;5;2015;62,125;48,64652778;46,63888889;66,85642857;54,80909091;46,19700599;1;;;;;;;;
9;5;2015;48,64652778;46,63888889;66,85642857;54,80909091;46,19700599;32,38444444;3;;;;;;;;
10;5;2015;46,63888889;66,85642857;54,80909091;46,19700599;32,38444444;35,5109375;0;;;;;;;;
11;5;2015;66,85642857;54,80909091;46,19700599;32,38444444;35,5109375;26,034375;2;;;;;;;;
12;5;2015;54,80909091;46,19700599;32,38444444;35,5109375;26,034375;31,8046875;3;;;;;;;;
13;5;2015;46,19700599;32,38444444;35,5109375;26,034375;31,8046875;41,94588235;5;;;;;;;;
14;5;2015;32,38444444;35,5109375;26,034375;31,8046875;41,94588235;36,64166667;5;;;;;;;;
15;5;2015;35,5109375;26,034375;31,8046875;41,94588235;36,64166667;41,61488095;5;;;;;;;;
16;5;2015;26,034375;31,8046875;41,94588235;36,64166667;41,61488095;41,45833333;3;;;;;;;;
17;5;2015;31,8046875;41,94588235;36,64166667;41,61488095;41,45833333;37,86904762;3;;;;;;;;
18;5;2015;41,94588235;36,64166667;41,61488095;41,45833333;37,86904762;38,04880952;0;;;;;;;;
19;5;2015;36,64166667;41,61488095;41,45833333;37,86904762;38,04880952;27,48690476;4;;;;;;;;
20;5;2015;41,61488095;41,45833333;37,86904762;38,04880952;27,48690476;45,3877095;1;;;;;;;;
21;5;2015;41,45833333;37,86904762;38,04880952;27,48690476;45,3877095;39,765625;5;;;;;;;;
22;5;2015;37,86904762;38,04880952;27,48690476;45,3877095;39,765625;41,55416667;4;;;;;;;;
23;5;2015;38,04880952;27,48690476;45,3877095;39,765625;41,55416667;39,96822917;0;;;;;;;;
24;5;2015;27,48690476;45,3877095;39,765625;41,55416667;39,96822917;41,88697917;3;;;;;;;;
25;5;2015;45,3877095;39,765625;41,55416667;39,96822917;41,88697917;24,82604167;4;;;;;;;;
26;5;2015;39,765625;41,55416667;39,96822917;41,88697917;24,82604167;29,33854167;5;;;;;;;;
27;5;2015;41,55416667;39,96822917;41,88697917;24,82604167;29,33854167;34,26145833;1;;;;;;;;
28;5;2015;39,96822917;41,88697917;24,82604167;29,33854167;34,26145833;30,28072917;4;;;;;;;;
29;5;2015;41,88697917;24,82604167;29,33854167;34,26145833;30,28072917;45,64450262;7;;;;;;;;
30;5;2015;24,82604167;29,33854167;34,26145833;30,28072917;45,64450262;70,6515625;2;;;;;;;;
31;5;2015;29,33854167;34,26145833;30,28072917;45,64450262;70,6515625;64,36770833;2;;;;;;;;
1;6;2015;34,26145833;30,28072917;45,64450262;70,6515625;64,36770833;47,66162791;2;;;;;;;;
2;6;2015;30,28072917;45,64450262;70,6515625;64,36770833;47,66162791;32,17440476;3;;;;;;;;
3;6;2015;45,64450262;70,6515625;64,36770833;47,66162791;32,17440476;41,06011905;4;;;;;;;;
4;6;2015;70,6515625;64,36770833;47,66162791;32,17440476;41,06011905;39,50658683;6;;;;;;;;
5;6;2015;64,36770833;47,66162791;32,17440476;41,06011905;39,50658683;40,55083799;5;;;;;;;;
6;6;2015;47,66162791;32,17440476;41,06011905;39,50658683;40,55083799;52,46806283;4;;;;;;;;
7;6;2015;32,17440476;41,06011905;39,50658683;40,55083799;52,46806283;56,2671875;2;;;;;;;;
8;6;2015;41,06011905;39,50658683;40,55083799;52,46806283;56,2671875;39,18697917;4;;;;;;;;
9;6;2015;39,50658683;40,55083799;52,46806283;56,2671875;39,18697917;36,57291667;2;;;;;;;;
10;6;2015;40,55083799;52,46806283;56,2671875;39,18697917;36,57291667;32,79010417;6;;;;;;;;
11;6;2015;52,46806283;56,2671875;39,18697917;36,57291667;32,79010417;42,96927083;3;;;;;;;;
12;6;2015;56,2671875;39,18697917;36,57291667;32,79010417;42,96927083;38,40628272;5;;;;;;;;
13;6;2015;39,18697917;36,57291667;32,79010417;42,96927083;38,40628272;43,39270833;3;;;;;;;;
14;6;2015;36,57291667;32,79010417;42,96927083;38,40628272;43,39270833;45,56145833;2;;;;;;;;
15;6;2015;32,79010417;42,96927083;38,40628272;43,39270833;45,56145833;29,0328125;4;;;;;;;;
16;6;2015;42,96927083;38,40628272;43,39270833;45,56145833;29,0328125;27,0984375;1;;;;;;;;
17;6;2015;38,40628272;43,39270833;45,56145833;29,0328125;27,0984375;41,8265625;6;;;;;;;;
18;6;2015;43,39270833;45,56145833;29,0328125;27,0984375;41,8265625;39,20677083;6;;;;;;;;
