;IdSensore;NomeTipoSensore_x;UnitaMisura_x;Idstazione_x;NomeStazione_x;Quota_x;Provincia_x;Comune_x;Storico_x;DataStart_x;DataStop_x;Utm_Nord_x;UTM_Est_x;lat_x;lng_x;location_x;Valore;DATE_TIME;NomeTipoSensore_y;UnitaMisura_y;Idstazione_y;NomeStazione_y;Quota_y;Provincia_y;Comune_y;Storico_y;DataStart_y;DataStop_y;Utm_Nord_y;UTM_Est_y;lat_y;lng_y;location_y
19;10438;Particelle sospese PM2.5;µg/m³;1264;Sondrio - via Paribelli;290.0;SO;Sondrio;N;11/11/2008;;5113073;567873;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903);30.0;2016-11-14;Particelle sospese PM2.5;µg/m³;1264.0;Sondrio - via Paribelli;290.0;SO;Sondrio;N;11/11/2008;;5113073.0;567873.0;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903)
23;10449;Particelle sospese PM2.5;µg/m³;560;Varese - via Copelli;383.0;VA;Varese;N;01/09/2009;;5073728;486035;45.81697323326368;8.820240707158211;(45.816973233263674, 8.820240707158211);38.0;2016-11-14;Particelle sospese PM2.5;µg/m³;560.0;Varese - via Copelli;383.0;VA;Varese;N;01/09/2009;;5073728.0;486035.0;45.81697323326368;8.820240707158211;(45.816973233263674, 8.820240707158211)
3;10450;Particelle sospese PM2.5;µg/m³;655;Darfo (aria);221.0;BS;Darfo Boario Terme;N;23/12/2008;;5080789;591371;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138);43.0;2016-11-14;Particelle sospese PM2.5;µg/m³;655.0;Darfo (aria);221.0;BS;Darfo Boario Terme;N;23/12/2008;;5080789.0;591371.0;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138)
7;10456;Particelle sospese PM2.5;µg/m³;1265;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706;538829;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324);34.0;2016-11-14;Particelle sospese PM2.5;µg/m³;1265.0;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706.0;538829.0;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324)
32;10479;Particelle sospese PM2.5;µg/m³;1267;Turano;65.0;LO;Turano Lodigiano;S;03/08/2009;31/03/2017;5010942;548751;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314);33.0;2016-11-14;Particelle sospese PM2.5;µg/m³;1267.0;Turano;65.0;LO;Turano Lodigiano;S;03/08/2009;31/03/2017;5010942.0;548751.0;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314)
4;10547;Particelle sospese PM2.5;µg/m³;1269;Dalmine - via Verdi;207.0;BG;Dalmine;N;26/02/2010;;5055304;546847;45.649702512362474;9.601223338785262;(45.64970251236247, 9.601223338785262);38.0;2016-11-14;Particelle sospese PM2.5;µg/m³;1269.0;Dalmine - via Verdi;207.0;BG;Dalmine;N;26/02/2010;;5055304.0;546847.0;45.64970251236248;9.601223338785262;(45.64970251236247, 9.601223338785262)
2;10586;Particelle sospese PM2.5;µg/m³;677;Cremona - Via Fatebenefratelli;43.0;CR;Cremona;N;28/07/2010;;4999315;582066;45.14254063221695;10.043836158369393;(45.14254063221695, 10.043836158369393);32.0;2016-11-14;Particelle sospese PM2.5;µg/m³;677.0;Cremona - Via Fatebenefratelli;43.0;CR;Cremona;N;28/07/2010;;4999315.0;582066.0;45.14254063221695;10.043836158369393;(45.14254063221695, 10.043836158369393)
24;12022;Particelle sospese PM2.5;µg/m³;1297;Spinadesco;48.0;CR;Spinadesco;N;16/02/2011;;5000087;573153;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326);32.0;2016-11-14;Particelle sospese PM2.5;µg/m³;1297.0;Spinadesco;48.0;CR;Spinadesco;N;16/02/2011;;5000087.0;573153.0;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326)
10;12029;Particelle sospese PM2.5;µg/m³;706;Lecco - Via Sora;272.0;LC;Lecco;N;31/12/2000;;5078987;531045;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852);30.0;2016-11-14;Particelle sospese PM2.5;µg/m³;706.0;Lecco - Via Sora;272.0;LC;Lecco;N;31/12/2000;;5078987.0;531045.0;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852)
14;12574;Particelle sospese PM2.5;µg/m³;693;Sannazzaro de' Burgondi - AGIP;85.0;PV;Sannazzaro de' Burgondi;N;07/01/2013;;4994371;492461;45.102766276841365;8.90417452771467;(45.10276627684137, 8.90417452771467);26.0;2016-11-14;Particelle sospese PM2.5;µg/m³;693.0;Sannazzaro de' Burgondi - AGIP;85.0;PV;Sannazzaro de' Burgondi;N;07/01/2013;;4994371.0;492461.0;45.102766276841365;8.90417452771467;(45.10276627684137, 8.90417452771467)
35;12577;Particelle sospese PM2.5;µg/m³;627;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;01/01/2012;;4998110;579872;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042);27.0;2016-11-14;Particelle sospese PM2.5;µg/m³;627.0;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;01/01/2012;;4998110.0;579872.0;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042)
29;17122;Particelle sospese PM2.5;µg/m³;548;Milano - via Senato;118.0;MI;Milano;N;04/09/2012;;5035238;515435;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531);31.0;2016-11-14;Particelle sospese PM2.5;µg/m³;548.0;Milano - via Senato;118.0;MI;Milano;N;04/09/2012;;5035238.0;515435.0;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531)
28;17159;Particelle sospese PM2.5;µg/m³;633;Soresina;70.0;CR;Soresina;N;11/10/2012;;5014860;567712;45.28397715446764;9.863398419993636;(45.28397715446764, 9.863398419993635);41.0;2016-11-14;Particelle sospese PM2.5;µg/m³;633.0;Soresina;70.0;CR;Soresina;N;11/10/2012;;5014860.0;567712.0;45.28397715446764;9.863398419993636;(45.28397715446764, 9.863398419993635)
22;20157;Particelle sospese PM2.5;µg/m³;642;Pavia - via Folperti;77.0;PV;Pavia;N;20/11/2013;;5004590;512932;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086);25.0;2016-11-14;Particelle sospese PM2.5;µg/m³;642.0;Pavia - via Folperti;77.0;PV;Pavia;N;20/11/2013;;5004590.0;512932.0;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086)
17;20358;Particelle sospese PM2.5;µg/m³;504;Sesto S.Giovanni;139.0;MI;Sesto San Giovanni;N;01/01/2017;;5042386;518435;45.53476576509224;9.236107923411636;(45.53476576509224, 9.236107923411636);39.0;2016-11-14;Particelle sospese PM2.5;µg/m³;504.0;Sesto S.Giovanni;139.0;MI;Sesto San Giovanni;N;01/01/2017;;5042386.0;518435.0;45.53476576509224;9.236107923411636;(45.53476576509224, 9.236107923411636)
