;IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;Storico;DataStart;DataStop;Utm_Nord;UTM_Est;lat;lng;location;Valore;DATE_TIME
81;5747;Ozono;µg/m³;559;Somma Lombardo - MXP;210.0;VA;Somma Lombardo;S;21/03/2000;01/01/2018;5055150;477613;45.649537127292405;8.712691458284791;(45.649537127292405, 8.71269145828479);47.8;2016-05-14 11:00:00
88;5749;Ozono;µg/m³;554;Saronno - via Santuario;212.0;VA;Saronno;N;09/05/1991;;5052520;503123;45.62621896083601;9.040063090678212;(45.626218960836006, 9.04006309067821);58.0;2016-05-14 11:00:00
80;5750;Ozono;µg/m³;552;Varese - Vidoletti;425.0;VA;Varese;N;23/12/1991;;5075945;484773;45.83690077655548;8.803926126674948;(45.83690077655548, 8.80392612667495);58.0;2016-05-14 11:00:00
38;5952;Ozono;µg/m³;626;Corte de Cortesi;57.0;CR;Corte de' Cortesi con Cignone;N;17/05/1996;;5014380;578919;45.27848755478839;10.006202391204337;(45.27848755478839, 10.006202391204335);59.6;2016-05-14 11:00:00
70;5960;Ozono;µg/m³;629;Crema - via XI febbraio;79.0;CR;Crema;N;28/04/1996;;5023885;555127;45.36630907819434;9.703945513613167;(45.366309078194334, 9.703945513613167);75.7;2016-05-14 11:00:00
18;6582;Ozono;µg/m³;561;Como - viale Cattaneo;202.0;CO;Como;N;17/02/1991;;5073500;505203;45.815042860112904;9.06697137484454;(45.81504286011291, 9.06697137484454);62.8;2016-05-14 11:00:00
9;6665;Ozono;µg/m³;565;Cantù - via Meucci;369.0;CO;Cantù;N;17/01/2005;;5064150;509783;45.730836722674276;9.125734327022926;(45.73083672267427, 9.125734327022926);74.8;2016-05-14 11:00:00
15;6691;Ozono;µg/m³;642;Pavia - via Folperti;77.0;PV;Pavia;N;01/06/2002;;5004590;512932;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086);60.9;2016-05-14 11:00:00
31;6791;Ozono;µg/m³;653;Brescia - via Ziziola;125.0;BS;Brescia;S;15/10/1997;01/01/2018;5040836;595170;45.51455919056731;10.218463502801264;(45.51455919056731, 10.218463502801265);49.7;2016-05-14 11:00:00
7;6804;Ozono;µg/m³;654;Sarezzo - via Minelli;269.0;BS;Sarezzo;N;12/03/2004;;5055826;593900;45.64962671224069;10.205090218837002;(45.64962671224069, 10.205090218837002);43.8;2016-05-14 11:00:00
30;6818;Ozono;µg/m³;656;Gambara;47.0;BS;Gambara;N;15/02/1990;;5011493;601945;45.249543624746245;10.299119496064078;(45.24954362474624, 10.299119496064078);63.7;2016-05-14 11:00:00
4;6832;Ozono;µg/m³;657;Lonato;180.0;BS;Lonato del Garda;N;14/03/2004;;5035536;615762;45.46375313621026;10.480772043571283;(45.463753136210265, 10.480772043571283);38.0;2016-05-14 11:00:00
28;6884;Ozono;µg/m³;665;Viadana;37.0;MN;Viadana;N;01/10/2003;;4975705;619759;44.92469404955067;10.517502067117825;(44.92469404955067, 10.517502067117825);57.2;2016-05-14 11:00:00
35;6888;Ozono;µg/m³;666;Porto Mantovano;29.0;MN;Porto Mantovano;S;01/06/2004;01/01/2018;5006244;641169;45.19554009017032;10.79726229869026;(45.19554009017032, 10.79726229869026);51.8;2016-05-14 11:00:00
14;6891;Ozono;µg/m³;667;Marmirolo - Bosco Fontana;22.0;MN;Marmirolo;S;01/01/2003;01/01/2018;5007554;636848;45.20817903938493;10.74263625117323;(45.20817903938493, 10.74263625117323);33.9;2016-05-14 11:00:00
83;6901;Ozono;µg/m³;668;Mantova - Lunetta 2;25.0;MN;Mantova;S;01/01/2003;01/01/2018;5002119;643358;45.15798527818925;10.823931433968092;(45.157985278189244, 10.823931433968092);58.4;2016-05-14 11:00:00
59;6902;Ozono;µg/m³;601;Montanaso;84.0;LO;Montanaso Lombardo;S;04/08/2004;01/01/2017;5020391;535459;45.33613100905199;9.45255388178171;(45.33613100905199, 9.45255388178171);83.1;2016-05-14 11:00:00
13;6904;Ozono;µg/m³;596;Osio Sotto;182.0;BG;Osio Sotto;N;08/09/2004;;5052072;547691;45.620555679395586;9.611737821812373;(45.62055567939559, 9.611737821812373);75.7;2016-05-14 11:00:00
6;9856;Ozono;µg/m³;672;Cornale (Voghera Energia);74.0;PV;Cornale;N;29/07/2005;;4987406;493238;45.040076572029626;8.914144599002407;(45.04007657202963, 8.914144599002409);83.8;2016-05-14 11:00:00
77;9861;Ozono;µg/m³;673;Voghera - via Pozzoni;90.0;PV;Voghera;N;05/07/2005;;4982900;500665;44.99954598914025;9.008437381815693;(44.99954598914026, 9.008437381815693);72.5;2016-05-14 11:00:00
73;9882;Ozono;µg/m³;674;Monza - via Machiavelli;162.0;MB;Monza;N;21/10/2005;;5047450;521343;45.580263484422424;9.273573092713274;(45.58026348442243, 9.273573092713274);60.7;2016-05-14 11:00:00
68;9899;Ozono;µg/m³;609;Casirate d`Adda;108.0;BG;Casirate d'Adda;N;01/12/2005;;5038450;543458;45.498227133944944;9.55623226235176;(45.49822713394494, 9.556232262351761);56.3;2016-05-14 11:00:00
43;9900;Ozono;µg/m³;508;Cassano d`Adda - Via di Vona;133.0;MI;Cassano d'Adda;S;01/12/2005;01/01/2018;5040847;540004;45.520008670321644;9.512220968943543;(45.52000867032165, 9.512220968943545);57.6;2016-05-14 11:00:00
84;9925;Ozono;µg/m³;677;Cremona - Via Fatebenefratelli;43.0;CR;Cremona;N;08/04/2006;;4999315;582066;45.14254063221695;10.043836158369393;(45.14254063221695, 10.043836158369393);74.1;2016-05-14 11:00:00
48;9972;Ozono;µg/m³;679;Valmadrera;247.0;LC;Valmadrera;N;21/02/2006;;5076576;527307;45.84220726102254;9.351658166127956;(45.842207261022544, 9.351658166127958);49.1;2016-05-14 11:00:00
50;9991;Ozono;µg/m³;681;Moggio;1194.0;LC;Moggio;N;12/07/2006;;5084478;538586;45.91278752030293;9.497538167653424;(45.91278752030292, 9.497538167653424);57.2;2016-05-14 11:00:00
24;9997;Ozono;µg/m³;682;Ferrera Erbognone - ENI;88.0;PV;Ferrera Erbognone;N;21/01/2006;;4995567;490094;45.11350314482957;8.874064848882607;(45.11350314482957, 8.874064848882607);79.7;2016-05-14 11:00:00
0;10025;Ozono;µg/m³;685;Calusco d' Adda;273.0;BG;Calusco d'Adda;N;30/06/2006;;5059767;537706;45.690429078545144;9.484260927647787;(45.69042907854514, 9.484260927647789);71.0;2016-05-14 11:00:00
86;10041;Ozono;µg/m³;687;Ferno;215.0;VA;Ferno;N;06/11/2006;;5051773;481053;45.61924377994763;8.756970445453431;(45.61924377994763, 8.756970445453431);34.1;2016-05-14 11:00:00
87;10081;Ozono;µg/m³;695;Ponti sul Mincio;113.0;MN;Ponti sul Mincio;N;06/02/2007;;5030184;631718;45.412771691686345;10.683357343786836;(45.41277169168634, 10.683357343786835);55.9;2016-05-14 11:00:00
11;10112;Ozono;µg/m³;698;Ceneselli;13.0;RO;Ceneselli;S;28/11/2006;01/01/2017;4987161;686934;45.01325676849335;11.372344948058233;(45.01325676849334, 11.372344948058235);71.3;2016-05-14 11:00:00
89;10123;Ozono;µg/m³;699;Magnacavallo;11.0;MN;Magnacavallo;S;29/11/2006;;4985830;671675;45.00514152134826;11.178388087213916;(45.00514152134826, 11.178388087213916);63.3;2016-05-14 11:00:00
90;10159;Ozono;µg/m³;702;Pieve di Coriano;16.0;MN;Pieve di Coriano;S;29/11/2006;;4988901;666747;45.033942814184634;11.116918109540055;(45.03394281418463, 11.116918109540054);58.4;2016-05-14 11:00:00
25;10171;Ozono;µg/m³;703;Schivenoglia;;MN;Schivenoglia;N;29/11/2006;;4986922;663580;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049);68.1;2016-05-14 11:00:00
52;10270;Ozono;µg/m³;655;Darfo (aria);221.0;BS;Darfo Boario Terme;N;01/01/2007;;5080789;591371;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138);42.1;2016-05-14 11:00:00
39;10282;Ozono;µg/m³;705;Milano - Pascal Città Studi;122.0;MI;Milano;N;16/06/2007;;5036190;518405;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502);53.8;2016-05-14 11:00:00
2;10288;Ozono;µg/m³;706;Lecco - Via Sora;272.0;LC;Lecco;N;28/06/2007;;5078987;531045;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852);58.4;2016-05-14 11:00:00
56;10324;Ozono;µg/m³;707;Mortara;108.0;PV;Mortara;S;04/10/2007;01/01/2017;5011280;479925;45.25472872078882;8.74415437971093;(45.254728720788826, 8.74415437971093);71.7;2016-05-14 11:00:00
51;10350;Ozono;µg/m³;532;Cuggiono;156.0;MI;Cuggiono;S;28/02/2007;01/01/2017;5038680;484723;45.5014842949991;8.804453762398397;(45.5014842949991, 8.804453762398397);73.2;2016-05-14 11:00:00
37;10437;Ozono;µg/m³;1264;Sondrio - via Paribelli;290.0;SO;Sondrio;N;04/01/2009;;5113073;567873;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903);31.9;2016-05-14 11:00:00
71;10454;Ozono;µg/m³;1265;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706;538829;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324);75.8;2016-05-14 11:00:00
85;10463;Ozono;µg/m³;1266;Bertonico;65.0;LO;Bertonico;N;03/08/2009;;5009105;552297;45.23349364130374;9.666250375296034;(45.23349364130374, 9.666250375296032);73.0;2016-05-14 11:00:00
34;10584;Ozono;µg/m³;1274;Perledo;212.0;LC;Perledo;N;01/09/2010;;5095846;522171;46.01582830438375;9.286409208680807;(46.01582830438376, 9.286409208680807);29.2;2016-05-14 11:00:00
3;12020;Ozono;µg/m³;1297;Spinadesco;48.0;CR;Spinadesco;N;04/02/2011;;5000087;573153;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326);51.4;2016-05-14 11:00:00
17;12581;Ozono;µg/m³;1303;Cremona - via Gerre Borghi;36.0;CR;Cremona;S;01/01/2012;01/01/2018;4995675;584111;45.10953938027215;10.069230734956498;(45.10953938027215, 10.069230734956498);70.6;2016-05-14 11:00:00
62;17288;Ozono;µg/m³;1374;Monza Parco;181.0;MB;Monza;N;09/02/2013;;5049780;521452;45.60123219955139;9.27507265782848;(45.60123219955139, 9.27507265782848);61.9;2016-05-14 11:00:00
26;17295;Ozono;µg/m³;558;Busto Arsizio - Accam;206.0;VA;Busto Arsizio;N;26/01/2013;;5047718;487088;45.58288342614757;8.834487189583363;(45.58288342614757, 8.834487189583362);69.8;2016-05-14 11:00:00
27;17297;Ozono;µg/m³;583;Bergamo - via Meucci;249.0;BG;Bergamo;N;24/01/2013;;5059922;550116;45.691037405472144;9.643650579461383;(45.69103740547214, 9.643650579461385);59.3;2016-05-14 11:00:00
60;20041;Ozono;µg/m³;670;Mantova - S.Agnese;22.0;MN;Mantova;N;13/12/2013;;5002356;641122;45.16056833010576;10.795564113707881;(45.16056833010576, 10.79556411370788);39.0;2016-05-14 11:00:00
69;20154;Ozono;µg/m³;690;Casoni - AGIP;73.0;PV;Mezzana Bigli;N;20/11/2013;;4990697;489679;45.06965864138592;8.868889299439221;(45.069658641385914, 8.86888929943922);77.6;2016-05-14 11:00:00
55;30165;Ozono;µg/m³;669;Brescia - Villaggio Sereno;70.0;BS;Brescia;N;13/12/2013;;5040636;593101;45.513038818653754;10.19194188877931;(45.513038818653754, 10.19194188877931);53.4;2016-05-14 11:00:00
