Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
5,344675926;5,764814815;6,872800926;9,580648899;10,02387022;12,15330243;5;;;;;;;;;
5,764814815;6,872800926;9,580648899;10,02387022;12,15330243;11,11851852;3;;;;;;;;;
6,872800926;9,580648899;10,02387022;12,15330243;11,11851852;10,71875;5;;;;;;;;;
9,580648899;10,02387022;12,15330243;11,11851852;10,71875;9,488310185;7;;;;;;;;;
10,02387022;12,15330243;11,11851852;10,71875;9,488310185;7,020745921;10;;;;;;;;;
12,15330243;11,11851852;10,71875;9,488310185;7,020745921;9,894431555;3;;;;;;;;;
11,11851852;10,71875;9,488310185;7,020745921;9,894431555;10,56597222;4;;;;;;;;;
10,71875;9,488310185;7,020745921;9,894431555;10,56597222;12,31400463;7;;;;;;;;;
9,488310185;7,020745921;9,894431555;10,56597222;12,31400463;12,30833333;3;;;;;;;;;
7,020745921;9,894431555;10,56597222;12,31400463;12,30833333;12,6556713;1;;;;;;;;;
9,894431555;10,56597222;12,31400463;12,30833333;12,6556713;12,33453071;1;;;;;;;;;
10,56597222;12,31400463;12,30833333;12,6556713;12,33453071;11,24403244;6;;;;;;;;;
12,31400463;12,30833333;12,6556713;12,33453071;11,24403244;11,190625;4;;;;;;;;;
12,30833333;12,6556713;12,33453071;11,24403244;11,190625;11,6744213;4;;;;;;;;;
12,6556713;12,33453071;11,24403244;11,190625;11,6744213;11,98344907;1;;;;;;;;;
12,33453071;11,24403244;11,190625;11,6744213;11,98344907;12,44814815;2;;;;;;;;;
11,24403244;11,190625;11,6744213;11,98344907;12,44814815;10,98576389;6;;;;;;;;;
11,190625;11,6744213;11,98344907;12,44814815;10,98576389;14,49965278;2;;;;;;;;;
11,6744213;11,98344907;12,44814815;10,98576389;14,49965278;14,29189815;2;;;;;;;;;
11,98344907;12,44814815;10,98576389;14,49965278;14,29189815;15,29247685;1;;;;;;;;;
12,44814815;10,98576389;14,49965278;14,29189815;15,29247685;14,51067285;5;;;;;;;;;
10,98576389;14,49965278;14,29189815;15,29247685;14,51067285;15,57520278;5;;;;;;;;;
14,49965278;14,29189815;15,29247685;14,51067285;15,57520278;16,49039352;6;;;;;;;;;
14,29189815;15,29247685;14,51067285;15,57520278;16,49039352;14,88634259;1;;;;;;;;;
15,29247685;14,51067285;15,57520278;16,49039352;14,88634259;14,17578216;4;;;;;;;;;
14,51067285;15,57520278;16,49039352;14,88634259;14,17578216;16,83402778;7;;;;;;;;;
15,57520278;16,49039352;14,88634259;14,17578216;16,83402778;17,20324074;6;;;;;;;;;
16,49039352;14,88634259;14,17578216;16,83402778;17,20324074;15,61122685;8;;;;;;;;;
14,88634259;14,17578216;16,83402778;17,20324074;15,61122685;14,89791667;5;;;;;;;;;
14,17578216;16,83402778;17,20324074;15,61122685;14,89791667;15,56851852;5;;;;;;;;;
16,83402778;17,20324074;15,61122685;14,89791667;15,56851852;15,89201389;3;;;;;;;;;
17,20324074;15,61122685;14,89791667;15,56851852;15,89201389;16,33680556;3;;;;;;;;;
15,61122685;14,89791667;15,56851852;15,89201389;16,33680556;15,81041667;4;;;;;;;;;
14,89791667;15,56851852;15,89201389;16,33680556;15,81041667;16,82268519;4;;;;;;;;;
15,56851852;15,89201389;16,33680556;15,81041667;16,82268519;16,09188876;3;;;;;;;;;
15,89201389;16,33680556;15,81041667;16,82268519;16,09188876;16,89733796;6;;;;;;;;;
16,33680556;15,81041667;16,82268519;16,09188876;16,89733796;16,65405093;5;;;;;;;;;
15,81041667;16,82268519;16,09188876;16,89733796;16,65405093;16,77705678;4;;;;;;;;;
16,82268519;16,09188876;16,89733796;16,65405093;16,77705678;16,01076389;0;;;;;;;;;
16,09188876;16,89733796;16,65405093;16,77705678;16,01076389;16,89039352;2;;;;;;;;;
16,89733796;16,65405093;16,77705678;16,01076389;16,89039352;17,34259259;0;;;;;;;;;
16,65405093;16,77705678;16,01076389;16,89039352;17,34259259;17,88796296;6;;;;;;;;;
16,77705678;16,01076389;16,89039352;17,34259259;17,88796296;16,04247685;5;;;;;;;;;
