DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
27;2;2016;42,10437158;46,74427083;53,16631579;60,07708333;50,11005587;38,93214286;2;;;;;;;;;
28;2;2016;46,74427083;53,16631579;60,07708333;50,11005587;38,93214286;59,64702381;5;;;;;;;;;
29;2;2016;53,16631579;60,07708333;50,11005587;38,93214286;59,64702381;42,975;2;;;;;;;;;
1;3;2016;60,07708333;50,11005587;38,93214286;59,64702381;42,975;45,4077381;2;;;;;;;;;
2;3;2016;50,11005587;38,93214286;59,64702381;42,975;45,4077381;49,00595238;6;;;;;;;;;
3;3;2016;38,93214286;59,64702381;42,975;45,4077381;49,00595238;61,59880952;3;;;;;;;;;
4;3;2016;59,64702381;42,975;45,4077381;49,00595238;61,59880952;43,5621118;6;;;;;;;;;
5;3;2016;42,975;45,4077381;49,00595238;61,59880952;43,5621118;59,92911392;5;;;;;;;;;
6;3;2016;45,4077381;49,00595238;61,59880952;43,5621118;59,92911392;63,98653846;3;;;;;;;;;
7;3;2016;49,00595238;61,59880952;43,5621118;59,92911392;63,98653846;54,25297619;5;;;;;;;;;
8;3;2016;61,59880952;43,5621118;59,92911392;63,98653846;54,25297619;40,2922619;3;;;;;;;;;
9;3;2016;43,5621118;59,92911392;63,98653846;54,25297619;40,2922619;47,77678571;5;;;;;;;;;
10;3;2016;59,92911392;63,98653846;54,25297619;40,2922619;47,77678571;56,99047619;7;;;;;;;;;
11;3;2016;63,98653846;54,25297619;40,2922619;47,77678571;56,99047619;39,15662651;10;;;;;;;;;
12;3;2016;54,25297619;40,2922619;47,77678571;56,99047619;39,15662651;48,27160494;3;;;;;;;;;
13;3;2016;40,2922619;47,77678571;56,99047619;39,15662651;48,27160494;65,47380952;4;;;;;;;;;
14;3;2016;47,77678571;56,99047619;39,15662651;48,27160494;65,47380952;63,92035928;7;;;;;;;;;
15;3;2016;56,99047619;39,15662651;48,27160494;65,47380952;63,92035928;39,83214286;3;;;;;;;;;
16;3;2016;39,15662651;48,27160494;65,47380952;63,92035928;39,83214286;57,80833333;1;;;;;;;;;
