COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
10;51,38013889;42,07902778;43,20208333;44,20138889;52,44902778;88,06875;;;;;;;;
3;42,07902778;43,20208333;44,20138889;52,44902778;88,06875;84,00208333;;;;;;;;
4;43,20208333;44,20138889;52,44902778;88,06875;84,00208333;71,18888889;;;;;;;;
4;44,20138889;52,44902778;88,06875;84,00208333;71,18888889;62,37236111;;;;;;;;
3;52,44902778;88,06875;84,00208333;71,18888889;62,37236111;49,61125;;;;;;;;
4;88,06875;84,00208333;71,18888889;62,37236111;49,61125;55,39819193;;;;;;;;
3;84,00208333;71,18888889;62,37236111;49,61125;55,39819193;84,89388889;;;;;;;;
5;71,18888889;62,37236111;49,61125;55,39819193;84,89388889;64,10555556;;;;;;;;
5;62,37236111;49,61125;55,39819193;84,89388889;64,10555556;65,18333333;;;;;;;;
2;49,61125;55,39819193;84,89388889;64,10555556;65,18333333;87,52541667;;;;;;;;
2;55,39819193;84,89388889;64,10555556;65,18333333;87,52541667;85,04617524;;;;;;;;
2;84,89388889;64,10555556;65,18333333;87,52541667;85,04617524;42,87208333;;;;;;;;
11;64,10555556;65,18333333;87,52541667;85,04617524;42,87208333;37,32916667;;;;;;;;
10;65,18333333;87,52541667;85,04617524;42,87208333;37,32916667;43,72125;;;;;;;;
1;87,52541667;85,04617524;42,87208333;37,32916667;43,72125;49,72611111;;;;;;;;
1;85,04617524;42,87208333;37,32916667;43,72125;49,72611111;40,50069444;;;;;;;;
1;42,87208333;37,32916667;43,72125;49,72611111;40,50069444;15,99054242;;;;;;;;
8;37,32916667;43,72125;49,72611111;40,50069444;15,99054242;25,54125;;;;;;;;
4;43,72125;49,72611111;40,50069444;15,99054242;25,54125;41,68472222;;;;;;;;
1;49,72611111;40,50069444;15,99054242;25,54125;41,68472222;53,32604457;;;;;;;;
7;40,50069444;15,99054242;25,54125;41,68472222;53,32604457;71,82576602;;;;;;;;
5;15,99054242;25,54125;41,68472222;53,32604457;71,82576602;45,565;;;;;;;;
