COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
5;9,828587963;12,68391204;10,88055556;10,44236111;9,814368482;9,868634259;;;;;;;;
10;12,68391204;10,88055556;10,44236111;9,814368482;9,868634259;7,623958333;;;;;;;;
3;10,88055556;10,44236111;9,814368482;9,868634259;7,623958333;9,776157407;;;;;;;;
4;10,44236111;9,814368482;9,868634259;7,623958333;9,776157407;10,81668598;;;;;;;;
4;9,814368482;9,868634259;7,623958333;9,776157407;10,81668598;12,01331019;;;;;;;;
3;9,868634259;7,623958333;9,776157407;10,81668598;12,01331019;12,48611111;;;;;;;;
4;7,623958333;9,776157407;10,81668598;12,01331019;12,48611111;11,51378911;;;;;;;;
3;9,776157407;10,81668598;12,01331019;12,48611111;11,51378911;8,943634259;;;;;;;;
5;10,81668598;12,01331019;12,48611111;11,51378911;8,943634259;11,27824074;;;;;;;;
5;12,01331019;12,48611111;11,51378911;8,943634259;11,27824074;12,03935185;;;;;;;;
2;12,48611111;11,51378911;8,943634259;11,27824074;12,03935185;10,24074074;;;;;;;;
2;11,51378911;8,943634259;11,27824074;12,03935185;10,24074074;11,9900232;;;;;;;;
2;8,943634259;11,27824074;12,03935185;10,24074074;11,9900232;14,7375;;;;;;;;
11;11,27824074;12,03935185;10,24074074;11,9900232;14,7375;14,08125;;;;;;;;
10;12,03935185;10,24074074;11,9900232;14,7375;14,08125;13,85486111;;;;;;;;
1;10,24074074;11,9900232;14,7375;14,08125;13,85486111;15,7037037;;;;;;;;
1;11,9900232;14,7375;14,08125;13,85486111;15,7037037;17,48946759;;;;;;;;
1;14,7375;14,08125;13,85486111;15,7037037;17,48946759;14,87624565;;;;;;;;
8;14,08125;13,85486111;15,7037037;17,48946759;14,87624565;13,98344907;;;;;;;;
4;13,85486111;15,7037037;17,48946759;14,87624565;13,98344907;13,21122685;;;;;;;;
1;15,7037037;17,48946759;14,87624565;13,98344907;13,21122685;10,274156;;;;;;;;
7;17,48946759;14,87624565;13,98344907;13,21122685;10,274156;8,513457077;;;;;;;;
5;14,87624565;13,98344907;13,21122685;10,274156;8,513457077;9,782638889;;;;;;;;
2;13,98344907;13,21122685;10,274156;8,513457077;9,782638889;11,44490741;;;;;;;;
3;13,21122685;10,274156;8,513457077;9,782638889;11,44490741;12,90208333;;;;;;;;
3;10,274156;8,513457077;9,782638889;11,44490741;12,90208333;15,00127462;;;;;;;;
0;8,513457077;9,782638889;11,44490741;12,90208333;15,00127462;15,8087963;;;;;;;;
3;9,782638889;11,44490741;12,90208333;15,00127462;15,8087963;15,1224537;;;;;;;;
8;11,44490741;12,90208333;15,00127462;15,8087963;15,1224537;16,46458333;;;;;;;;
3;12,90208333;15,00127462;15,8087963;15,1224537;16,46458333;18,88657407;;;;;;;;
5;15,00127462;15,8087963;15,1224537;16,46458333;18,88657407;19,79576784;;;;;;;;
4;15,8087963;15,1224537;16,46458333;18,88657407;19,79576784;19,23453237;;;;;;;;
6;15,1224537;16,46458333;18,88657407;19,79576784;19,23453237;17,4564951;;;;;;;;
3;16,46458333;18,88657407;19,79576784;19,23453237;17,4564951;14,09039352;;;;;;;;
4;18,88657407;19,79576784;19,23453237;17,4564951;14,09039352;14,11939394;;;;;;;;
4;19,79576784;19,23453237;17,4564951;14,09039352;14,11939394;11,87024793;;;;;;;;
3;19,23453237;17,4564951;14,09039352;14,11939394;11,87024793;13,96393245;;;;;;;;
4;17,4564951;14,09039352;14,11939394;11,87024793;13,96393245;17,52488263;;;;;;;;
3;14,09039352;14,11939394;11,87024793;13,96393245;17,52488263;19,0400463;;;;;;;;
0;14,11939394;11,87024793;13,96393245;17,52488263;19,0400463;17,53206019;;;;;;;;
2;11,87024793;13,96393245;17,52488263;19,0400463;17,53206019;17,35219907;;;;;;;;
2;13,96393245;17,52488263;19,0400463;17,53206019;17,35219907;15,20619159;;;;;;;;
4;17,52488263;19,0400463;17,53206019;17,35219907;15,20619159;15,69710648;;;;;;;;
4;19,0400463;17,53206019;17,35219907;15,20619159;15,69710648;13,51458333;;;;;;;;
4;17,53206019;17,35219907;15,20619159;15,69710648;13,51458333;16,46825029;;;;;;;;
3;17,35219907;15,20619159;15,69710648;13,51458333;16,46825029;15,56898148;;;;;;;;
2;15,20619159;15,69710648;13,51458333;16,46825029;15,56898148;15,47511574;;;;;;;;
4;15,69710648;13,51458333;16,46825029;15,56898148;15,47511574;13,65121669;;;;;;;;
4;13,51458333;16,46825029;15,56898148;15,47511574;13,65121669;17,5380787;;;;;;;;
5;16,46825029;15,56898148;15,47511574;13,65121669;17,5380787;17,34217845;;;;;;;;
2;15,56898148;15,47511574;13,65121669;17,5380787;17,34217845;19,03831019;;;;;;;;
4;15,47511574;13,65121669;17,5380787;17,34217845;19,03831019;19,78993056;;;;;;;;
4;13,65121669;17,5380787;17,34217845;19,03831019;19,78993056;20,8438007;;;;;;;;
2;17,5380787;17,34217845;19,03831019;19,78993056;20,8438007;20,49201389;;;;;;;;
2;17,34217845;19,03831019;19,78993056;20,8438007;20,49201389;19,96570104;;;;;;;;
3;19,03831019;19,78993056;20,8438007;20,49201389;19,96570104;20,56736111;;;;;;;;
8;19,78993056;20,8438007;20,49201389;19,96570104;20,56736111;22,05300926;;;;;;;;
6;20,8438007;20,49201389;19,96570104;20,56736111;22,05300926;22,02097335;;;;;;;;
1;20,49201389;19,96570104;20,56736111;22,05300926;22,02097335;22,65358796;;;;;;;;
1;19,96570104;20,56736111;22,05300926;22,02097335;22,65358796;22,66597222;;;;;;;;
3;20,56736111;22,05300926;22,02097335;22,65358796;22,66597222;22,31377315;;;;;;;;
0;22,05300926;22,02097335;22,65358796;22,66597222;22,31377315;18,40775463;;;;;;;;
2;22,02097335;22,65358796;22,66597222;22,31377315;18,40775463;19,43240741;;;;;;;;
3;22,65358796;22,66597222;22,31377315;18,40775463;19,43240741;22,76071842;;;;;;;;
5;22,66597222;22,31377315;18,40775463;19,43240741;22,76071842;22,84739282;;;;;;;;
5;22,31377315;18,40775463;19,43240741;22,76071842;22,84739282;21,39350348;;;;;;;;
5;18,40775463;19,43240741;22,76071842;22,84739282;21,39350348;16,20219907;;;;;;;;
3;19,43240741;22,76071842;22,84739282;21,39350348;16,20219907;13,84363426;;;;;;;;
3;22,76071842;22,84739282;21,39350348;16,20219907;13,84363426;15,61712963;;;;;;;;
0;22,84739282;21,39350348;16,20219907;13,84363426;15,61712963;15,74982415;;;;;;;;
4;21,39350348;16,20219907;13,84363426;15,61712963;15,74982415;18,11566125;;;;;;;;
1;16,20219907;13,84363426;15,61712963;15,74982415;18,11566125;20,03356481;;;;;;;;
5;13,84363426;15,61712963;15,74982415;18,11566125;20,03356481;18,28921114;;;;;;;;
4;15,61712963;15,74982415;18,11566125;20,03356481;18,28921114;18,7693287;;;;;;;;
0;15,74982415;18,11566125;20,03356481;18,28921114;18,7693287;19,57354988;;;;;;;;
3;18,11566125;20,03356481;18,28921114;18,7693287;19,57354988;20,53946759;;;;;;;;
4;20,03356481;18,28921114;18,7693287;19,57354988;20,53946759;20,88991889;;;;;;;;
5;18,28921114;18,7693287;19,57354988;20,53946759;20,88991889;20,56851852;;;;;;;;
1;18,7693287;19,57354988;20,53946759;20,88991889;20,56851852;22,59420626;;;;;;;;
4;19,57354988;20,53946759;20,88991889;20,56851852;22,59420626;24,21782407;;;;;;;;
7;20,53946759;20,88991889;20,56851852;22,59420626;24,21782407;25,57766204;;;;;;;;
2;20,88991889;20,56851852;22,59420626;24,21782407;25,57766204;27,39443801;;;;;;;;
2;20,56851852;22,59420626;24,21782407;25,57766204;27,39443801;28,20798611;;;;;;;;
2;22,59420626;24,21782407;25,57766204;27,39443801;28,20798611;28,62835648;;;;;;;;
3;24,21782407;25,57766204;27,39443801;28,20798611;28,62835648;27,80173611;;;;;;;;
4;25,57766204;27,39443801;28,20798611;28,62835648;27,80173611;24,74270833;;;;;;;;
6;27,39443801;28,20798611;28,62835648;27,80173611;24,74270833;23,83981481;;;;;;;;
5;28,20798611;28,62835648;27,80173611;24,74270833;23,83981481;23,34826389;;;;;;;;
4;28,62835648;27,80173611;24,74270833;23,83981481;23,34826389;25,29459135;;;;;;;;
2;27,80173611;24,74270833;23,83981481;23,34826389;25,29459135;23,54282407;;;;;;;;
4;24,74270833;23,83981481;23,34826389;25,29459135;23,54282407;22,31780488;;;;;;;;
2;23,83981481;23,34826389;25,29459135;23,54282407;22,31780488;19,58900463;;;;;;;;
6;23,34826389;25,29459135;23,54282407;22,31780488;19,58900463;21,298146;;;;;;;;
3;25,29459135;23,54282407;22,31780488;19,58900463;21,298146;19,32627315;;;;;;;;
5;23,54282407;22,31780488;19,58900463;21,298146;19,32627315;21,33391204;;;;;;;;
3;22,31780488;19,58900463;21,298146;19,32627315;21,33391204;22,67592593;;;;;;;;
2;19,58900463;21,298146;19,32627315;21,33391204;22,67592593;24,02025463;;;;;;;;
4;21,298146;19,32627315;21,33391204;22,67592593;24,02025463;22,19270833;;;;;;;;
1;19,32627315;21,33391204;22,67592593;24,02025463;22,19270833;21,97638889;;;;;;;;
6;21,33391204;22,67592593;24,02025463;22,19270833;21,97638889;22,04467593;;;;;;;;
6;22,67592593;24,02025463;22,19270833;21,97638889;22,04467593;23,5626883;;;;;;;;
4;24,02025463;22,19270833;21,97638889;22,04467593;23,5626883;20,51691773;;;;;;;;
2;22,19270833;21,97638889;22,04467593;23,5626883;20,51691773;22,47083333;;;;;;;;
2;21,97638889;22,04467593;23,5626883;20,51691773;22,47083333;24,06076389;;;;;;;;
3;22,04467593;23,5626883;20,51691773;22,47083333;24,06076389;25,65787037;;;;;;;;
2;23,5626883;20,51691773;22,47083333;24,06076389;25,65787037;25,66030093;;;;;;;;
4;20,51691773;22,47083333;24,06076389;25,65787037;25,66030093;25,85434531;;;;;;;;
1;22,47083333;24,06076389;25,65787037;25,66030093;25,85434531;26,31173055;;;;;;;;
3;24,06076389;25,65787037;25,66030093;25,85434531;26,31173055;27,7179606;;;;;;;;
2;25,65787037;25,66030093;25,85434531;26,31173055;27,7179606;28,85162413;;;;;;;;
3;25,66030093;25,85434531;26,31173055;27,7179606;28,85162413;29,32465278;;;;;;;;
4;25,85434531;26,31173055;27,7179606;28,85162413;29,32465278;29,0155633;;;;;;;;
9;26,31173055;27,7179606;28,85162413;29,32465278;29,0155633;30,31689815;;;;;;;;
5;27,7179606;28,85162413;29,32465278;29,0155633;30,31689815;31,09604651;;;;;;;;
0;28,85162413;29,32465278;29,0155633;30,31689815;31,09604651;31,43306265;;;;;;;;
2;29,32465278;29,0155633;30,31689815;31,09604651;31,43306265;28,92048611;;;;;;;;
4;29,0155633;30,31689815;31,09604651;31,43306265;28,92048611;27,18240741;;;;;;;;
2;30,31689815;31,09604651;31,43306265;28,92048611;27,18240741;26,1962963;;;;;;;;
4;31,09604651;31,43306265;28,92048611;27,18240741;26,1962963;26,99259259;;;;;;;;
6;31,43306265;28,92048611;27,18240741;26,1962963;26,99259259;28,6161066;;;;;;;;
3;28,92048611;27,18240741;26,1962963;26,99259259;28,6161066;28,92592593;;;;;;;;
4;27,18240741;26,1962963;26,99259259;28,6161066;28,92592593;29,42372685;;;;;;;;
6;26,1962963;26,99259259;28,6161066;28,92592593;29,42372685;29,95625;;;;;;;;
2;26,99259259;28,6161066;28,92592593;29,42372685;29,95625;30,33206019;;;;;;;;
3;28,6161066;28,92592593;29,42372685;29,95625;30,33206019;30,95451389;;;;;;;;
1;28,92592593;29,42372685;29,95625;30,33206019;30,95451389;30,60659722;;;;;;;;
1;29,42372685;29,95625;30,33206019;30,95451389;30,60659722;29,3755787;;;;;;;;
5;29,95625;30,33206019;30,95451389;30,60659722;29,3755787;30,17303241;;;;;;;;
2;30,33206019;30,95451389;30,60659722;29,3755787;30,17303241;31,48449074;;;;;;;;
4;30,95451389;30,60659722;29,3755787;30,17303241;31,48449074;32,03958333;;;;;;;;
2;30,60659722;29,3755787;30,17303241;31,48449074;32,03958333;30,99767981;;;;;;;;
3;29,3755787;30,17303241;31,48449074;32,03958333;30,99767981;29,35972222;;;;;;;;
2;30,17303241;31,48449074;32,03958333;30,99767981;29,35972222;26,52470998;;;;;;;;
4;31,48449074;32,03958333;30,99767981;29,35972222;26,52470998;26,54525463;;;;;;;;
3;32,03958333;30,99767981;29,35972222;26,52470998;26,54525463;27,47969662;;;;;;;;
2;30,99767981;29,35972222;26,52470998;26,54525463;27,47969662;26,82537659;;;;;;;;
2;29,35972222;26,52470998;26,54525463;27,47969662;26,82537659;26,3806489;;;;;;;;
0;26,52470998;26,54525463;27,47969662;26,82537659;26,3806489;25,2119213;;;;;;;;
1;26,54525463;27,47969662;26,82537659;26,3806489;25,2119213;23,70219907;;;;;;;;
4;27,47969662;26,82537659;26,3806489;25,2119213;23,70219907;20,05341831;;;;;;;;
0;26,82537659;26,3806489;25,2119213;23,70219907;20,05341831;23,03055556;;;;;;;;
4;26,3806489;25,2119213;23,70219907;20,05341831;23,03055556;26,17881944;;;;;;;;
3;25,2119213;23,70219907;20,05341831;23,03055556;26,17881944;27,48321759;;;;;;;;
4;23,70219907;20,05341831;23,03055556;26,17881944;27,48321759;28,64872685;;;;;;;;
