COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;;
3;12;3;53,5;43,33333333;41,33333333;35;34;56,66666667;2015;;;;;;;;
4;13;3;43,33333333;41,33333333;35;34;56,66666667;86,33333333;2015;;;;;;;;
4;14;3;41,33333333;35;34;56,66666667;86,33333333;59,66666667;2015;;;;;;;;
3;15;3;35;34;56,66666667;86,33333333;59,66666667;53,33333333;2015;;;;;;;;
4;16;3;34;56,66666667;86,33333333;59,66666667;53,33333333;33,66666667;2015;;;;;;;;
3;17;3;56,66666667;86,33333333;59,66666667;53,33333333;33,66666667;49,5;2015;;;;;;;;
5;18;3;86,33333333;59,66666667;53,33333333;33,66666667;49,5;70;2015;;;;;;;;
5;19;3;59,66666667;53,33333333;33,66666667;49,5;70;35,66666667;2015;;;;;;;;
2;20;3;53,33333333;33,66666667;49,5;70;35,66666667;28,33333333;2015;;;;;;;;
2;21;3;33,66666667;49,5;70;35,66666667;28,33333333;16,33333333;2015;;;;;;;;
2;22;3;49,5;70;35,66666667;28,33333333;16,33333333;22;2015;;;;;;;;
11;23;3;70;35,66666667;28,33333333;16,33333333;22;31,33333333;2015;;;;;;;;
10;24;3;35,66666667;28,33333333;16,33333333;22;31,33333333;21,33333333;2015;;;;;;;;
1;25;3;28,33333333;16,33333333;22;31,33333333;21,33333333;22;2015;;;;;;;;
1;26;3;16,33333333;22;31,33333333;21,33333333;22;10,5;2015;;;;;;;;
1;27;3;22;31,33333333;21,33333333;22;10,5;14,66666667;2015;;;;;;;;
8;28;3;31,33333333;21,33333333;22;10,5;14,66666667;22,66666667;2015;;;;;;;;
4;29;3;21,33333333;22;10,5;14,66666667;22,66666667;17,33333333;2015;;;;;;;;
1;30;3;22;10,5;14,66666667;22,66666667;17,33333333;16;2015;;;;;;;;
7;31;3;10,5;14,66666667;22,66666667;17,33333333;16;12;2015;;;;;;;;
5;1;4;14,66666667;22,66666667;17,33333333;16;12;18,66666667;2015;;;;;;;;
2;2;4;22,66666667;17,33333333;16;12;18,66666667;35,66666667;2015;;;;;;;;
3;3;4;17,33333333;16;12;18,66666667;35,66666667;51,66666667;2015;;;;;;;;
3;4;4;16;12;18,66666667;35,66666667;51,66666667;50,66666667;2015;;;;;;;;
0;5;4;12;18,66666667;35,66666667;51,66666667;50,66666667;31,33333333;2015;;;;;;;;
3;6;4;18,66666667;35,66666667;51,66666667;50,66666667;31,33333333;39,33333333;2015;;;;;;;;
8;7;4;35,66666667;51,66666667;50,66666667;31,33333333;39,33333333;51;2015;;;;;;;;
3;8;4;51,66666667;50,66666667;31,33333333;39,33333333;51;45;2015;;;;;;;;
5;9;4;50,66666667;31,33333333;39,33333333;51;45;47,66666667;2015;;;;;;;;
4;10;4;31,33333333;39,33333333;51;45;47,66666667;34;2015;;;;;;;;
6;11;4;39,33333333;51;45;47,66666667;34;24,66666667;2015;;;;;;;;
3;12;4;51;45;47,66666667;34;24,66666667;31,33333333;2015;;;;;;;;
4;13;4;45;47,66666667;34;24,66666667;31,33333333;17,33333333;2015;;;;;;;;
4;14;4;47,66666667;34;24,66666667;31,33333333;17,33333333;33;2015;;;;;;;;
3;15;4;34;24,66666667;31,33333333;17,33333333;33;41;2015;;;;;;;;
4;16;4;24,66666667;31,33333333;17,33333333;33;41;34;2015;;;;;;;;
3;17;4;31,33333333;17,33333333;33;41;34;21,33333333;2015;;;;;;;;
0;18;4;17,33333333;33;41;34;21,33333333;32,33333333;2015;;;;;;;;
2;19;4;33;41;34;21,33333333;32,33333333;34,66666667;2015;;;;;;;;
2;20;4;41;34;21,33333333;32,33333333;34,66666667;34,66666667;2015;;;;;;;;
4;21;4;34;21,33333333;32,33333333;34,66666667;34,66666667;19,66666667;2015;;;;;;;;
4;22;4;21,33333333;32,33333333;34,66666667;34,66666667;19,66666667;18,33333333;2015;;;;;;;;
4;23;4;32,33333333;34,66666667;34,66666667;19,66666667;18,33333333;21,33333333;2015;;;;;;;;
3;24;4;34,66666667;34,66666667;19,66666667;18,33333333;21,33333333;20,33333333;2015;;;;;;;;
2;25;4;34,66666667;19,66666667;18,33333333;21,33333333;20,33333333;24;2015;;;;;;;;
4;26;4;19,66666667;18,33333333;21,33333333;20,33333333;24;22,33333333;2015;;;;;;;;
4;27;4;18,33333333;21,33333333;20,33333333;24;22,33333333;32;2015;;;;;;;;
5;28;4;21,33333333;20,33333333;24;22,33333333;32;28;2015;;;;;;;;
