COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;
4;20;1;1,477083333;1,528125;1,341666667;1,627083333;1,972916667;1,246875;2015;;;;;;;
1;21;1;1,528125;1,341666667;1,627083333;1,972916667;1,246875;1,338541667;2015;;;;;;;
1;22;1;1,341666667;1,627083333;1,972916667;1,246875;1,338541667;1,9375;2015;;;;;;;
2;23;1;1,627083333;1,972916667;1,246875;1,338541667;1,9375;1,761458333;2015;;;;;;;
2;24;1;1,972916667;1,246875;1,338541667;1,9375;1,761458333;1,84375;2015;;;;;;;
4;25;1;1,246875;1,338541667;1,9375;1,761458333;1,84375;1,367708333;2015;;;;;;;
2;26;1;1,338541667;1,9375;1,761458333;1,84375;1,367708333;1,585416667;2015;;;;;;;
4;27;1;1,9375;1,761458333;1,84375;1,367708333;1,585416667;1,609375;2015;;;;;;;
3;28;1;1,761458333;1,84375;1,367708333;1,585416667;1,609375;1,780208333;2015;;;;;;;
2;29;1;1,84375;1,367708333;1,585416667;1,609375;1,780208333;1,634375;2015;;;;;;;
2;30;1;1,367708333;1,585416667;1,609375;1,780208333;1,634375;1,545833333;2015;;;;;;;
5;31;1;1,585416667;1,609375;1,780208333;1,634375;1,545833333;1,438541667;2015;;;;;;;
1;1;2;1,609375;1,780208333;1,634375;1,545833333;1,438541667;1,616666667;2015;;;;;;;
2;2;2;1,780208333;1,634375;1,545833333;1,438541667;1,616666667;1,442708333;2015;;;;;;;
3;3;2;1,634375;1,545833333;1,438541667;1,616666667;1,442708333;1,439583333;2015;;;;;;;
3;4;2;1,545833333;1,438541667;1,616666667;1,442708333;1,439583333;1,660416667;2015;;;;;;;
1;5;2;1,438541667;1,616666667;1,442708333;1,439583333;1,660416667;1,863541667;2015;;;;;;;
3;6;2;1,616666667;1,442708333;1,439583333;1,660416667;1,863541667;2,111458333;2015;;;;;;;
3;7;2;1,442708333;1,439583333;1,660416667;1,863541667;2,111458333;2,259036145;2015;;;;;;;
2;8;2;1,439583333;1,660416667;1,863541667;2,111458333;2,259036145;1,810588235;2015;;;;;;;
6;9;2;1,660416667;1,863541667;2,111458333;2,259036145;1,810588235;1,477083333;2015;;;;;;;
1;10;2;1,863541667;2,111458333;2,259036145;1,810588235;1,477083333;1,485416667;2015;;;;;;;
2;11;2;2,111458333;2,259036145;1,810588235;1,477083333;1,485416667;1,739583333;2015;;;;;;;
2;12;2;2,259036145;1,810588235;1,477083333;1,485416667;1,739583333;1,576041667;2015;;;;;;;
1;13;2;1,810588235;1,477083333;1,485416667;1,739583333;1,576041667;1,471875;2015;;;;;;;
1;14;2;1,477083333;1,485416667;1,739583333;1,576041667;1,471875;1,795833333;2015;;;;;;;
4;15;2;1,485416667;1,739583333;1,576041667;1,471875;1,795833333;1,832291667;2015;;;;;;;
2;16;2;1,739583333;1,576041667;1,471875;1,795833333;1,832291667;1,414583333;2015;;;;;;;
4;17;2;1,576041667;1,471875;1,795833333;1,832291667;1,414583333;1,332291667;2015;;;;;;;
3;18;2;1,471875;1,795833333;1,832291667;1,414583333;1,332291667;1,89375;2015;;;;;;;
5;19;2;1,795833333;1,832291667;1,414583333;1,332291667;1,89375;1,738541667;2015;;;;;;;
3;20;2;1,832291667;1,414583333;1,332291667;1,89375;1,738541667;1,423958333;2015;;;;;;;
4;21;2;1,414583333;1,332291667;1,89375;1,738541667;1,423958333;1,584375;2015;;;;;;;
6;22;2;1,332291667;1,89375;1,738541667;1,423958333;1,584375;1,675;2015;;;;;;;
4;23;2;1,89375;1,738541667;1,423958333;1,584375;1,675;1,741666667;2015;;;;;;;
4;24;2;1,738541667;1,423958333;1,584375;1,675;1,741666667;1,9125;2015;;;;;;;
3;25;2;1,423958333;1,584375;1,675;1,741666667;1,9125;1,611458333;2015;;;;;;;
2;26;2;1,584375;1,675;1,741666667;1,9125;1,611458333;1,573958333;2015;;;;;;;
1;27;2;1,675;1,741666667;1,9125;1,611458333;1,573958333;1,722916667;2015;;;;;;;
10;28;2;1,741666667;1,9125;1,611458333;1,573958333;1,722916667;1,407291667;2015;;;;;;;
5;1;3;1,9125;1,611458333;1,573958333;1,722916667;1,407291667;1,5375;2015;;;;;;;
4;2;3;1,611458333;1,573958333;1,722916667;1,407291667;1,5375;1,46875;2015;;;;;;;
6;3;3;1,573958333;1,722916667;1,407291667;1,5375;1,46875;1,614583333;2015;;;;;;;
5;4;3;1,722916667;1,407291667;1,5375;1,46875;1,614583333;1,733333333;2015;;;;;;;
2;5;3;1,407291667;1,5375;1,46875;1,614583333;1,733333333;1,830208333;2015;;;;;;;
3;6;3;1,5375;1,46875;1,614583333;1,733333333;1,830208333;1,739583333;2015;;;;;;;
2;7;3;1,46875;1,614583333;1,733333333;1,830208333;1,739583333;1,067708333;2015;;;;;;;
3;8;3;1,614583333;1,733333333;1,830208333;1,739583333;1,067708333;1,28125;2015;;;;;;;
4;9;3;1,733333333;1,830208333;1,739583333;1,067708333;1,28125;1,085416667;2015;;;;;;;
5;10;3;1,830208333;1,739583333;1,067708333;1,28125;1,085416667;1,085416667;2015;;;;;;;
10;11;3;1,739583333;1,067708333;1,28125;1,085416667;1,085416667;1,26875;2015;;;;;;;
3;12;3;1,067708333;1,28125;1,085416667;1,085416667;1,26875;1,434375;2015;;;;;;;
4;13;3;1,28125;1,085416667;1,085416667;1,26875;1,434375;1,522916667;2015;;;;;;;
4;14;3;1,085416667;1,085416667;1,26875;1,434375;1,522916667;1,463541667;2015;;;;;;;
3;15;3;1,085416667;1,26875;1,434375;1,522916667;1,463541667;1,302083333;2015;;;;;;;
4;16;3;1,26875;1,434375;1,522916667;1,463541667;1,302083333;1,232291667;2015;;;;;;;
3;17;3;1,434375;1,522916667;1,463541667;1,302083333;1,232291667;1,271875;2015;;;;;;;
5;18;3;1,522916667;1,463541667;1,302083333;1,232291667;1,271875;1,494791667;2015;;;;;;;
5;19;3;1,463541667;1,302083333;1,232291667;1,271875;1,494791667;1,496875;2015;;;;;;;
2;20;3;1,302083333;1,232291667;1,271875;1,494791667;1,496875;1,384375;2015;;;;;;;
2;21;3;1,232291667;1,271875;1,494791667;1,496875;1,384375;1,297916667;2015;;;;;;;
2;22;3;1,271875;1,494791667;1,496875;1,384375;1,297916667;1,215625;2015;;;;;;;
11;23;3;1,494791667;1,496875;1,384375;1,297916667;1,215625;1,23125;2015;;;;;;;
10;24;3;1,496875;1,384375;1,297916667;1,215625;1,23125;1,275;2015;;;;;;;
1;25;3;1,384375;1,297916667;1,215625;1,23125;1,275;1,229166667;2015;;;;;;;
1;26;3;1,297916667;1,215625;1,23125;1,275;1,229166667;1,225;2015;;;;;;;
1;27;3;1,215625;1,23125;1,275;1,229166667;1,225;1,075;2015;;;;;;;
8;28;3;1,23125;1,275;1,229166667;1,225;1,075;1,170833333;2015;;;;;;;
4;29;3;1,275;1,229166667;1,225;1,075;1,170833333;1,1875;2015;;;;;;;
1;30;3;1,229166667;1,225;1,075;1,170833333;1,1875;1,176041667;2015;;;;;;;
7;31;3;1,225;1,075;1,170833333;1,1875;1,176041667;1,232291667;2015;;;;;;;
5;1;4;1,075;1,170833333;1,1875;1,176041667;1,232291667;1,134375;2015;;;;;;;
2;2;4;1,170833333;1,1875;1,176041667;1,232291667;1,134375;1,198958333;2015;;;;;;;
3;3;4;1,1875;1,176041667;1,232291667;1,134375;1,198958333;1,403125;2015;;;;;;;
3;4;4;1,176041667;1,232291667;1,134375;1,198958333;1,403125;1,410416667;2015;;;;;;;
0;5;4;1,232291667;1,134375;1,198958333;1,403125;1,410416667;1,36875;2015;;;;;;;
3;6;4;1,134375;1,198958333;1,403125;1,410416667;1,36875;1,260416667;2015;;;;;;;
