DAY;MONTH;YEAR;Valore
1;1;2015;60,5
2;1;2015;68,0
3;1;2015;38,5
4;1;2015;20,5
5;1;2015;44,5
6;1;2015;76,0
7;1;2015;63,5
8;1;2015;69,0
9;1;2015;40,5
10;1;2015;57,5
11;1;2015;23,5
12;1;2015;55,5
13;1;2015;66,0
14;1;2015;62,5
15;1;2015;58,0
16;1;2015;24,5
17;1;2015;28,0
18;1;2015;44,5
19;1;2015;47,0
20;1;2015;35,5
21;1;2015;28,5
22;1;2015;36,5
23;1;2015;50,5
24;1;2015;11,0
25;1;2015;21,5
26;1;2015;58,0
27;1;2015;48,0
28;1;2015;51,0
29;1;2015;32,0
30;1;2015;33,5
31;1;2015;43,5
1;2;2015;32,5
2;2;2015;48,0
3;2;2015;40,5
4;2;2015;13,5
5;2;2015;18,5
6;2;2015;21,0
7;2;2015;35,5
8;2;2015;47,5
9;2;2015;78,5
10;2;2015;92,0
11;2;2015;123,5
12;2;2015;134,5
13;2;2015;50,0
14;2;2015;20,0
15;2;2015;23,5
16;2;2015;41,5
17;2;2015;46,0
18;2;2015;69,0
19;2;2015;63,5
20;2;2015;52,0
21;2;2015;12,5
22;2;2015;34,0
23;2;2015;20,5
24;2;2015;9,0
25;2;2015;20,5
26;2;2015;39,0
27;2;2015;51,0
28;2;2015;47,5
1;3;2015;31,0
2;3;2015;28,5
3;3;2015;43,0
4;3;2015;10,0
5;3;2015;19,0
6;3;2015;20,0
7;3;2015;39,0
8;3;2015;40,0
9;3;2015;60,5
10;3;2015;78,0
11;3;2015;34,5
12;3;2015;39,0
13;3;2015;32,0
14;3;2015;32,0
15;3;2015;29,5
16;3;2015;27,5
17;3;2015;47,0
18;3;2015;69,5
19;3;2015;45,0
20;3;2015;43,0
21;3;2015;30,5
22;3;2015;47,0
23;3;2015;59,0
24;3;2015;32,5
25;3;2015;27,0
26;3;2015;16,5
27;3;2015;21,0
28;3;2015;29,0
29;3;2015;12,0
30;3;2015;14,0
31;3;2015;6,5
1;4;2015;10,0
2;4;2015;16,5
3;4;2015;13,5
4;4;2015;13,5
5;4;2015;13,5
6;4;2015;13,0
7;4;2015;29,0
8;4;2015;46,5
9;4;2015;45,0
10;4;2015;22,5
11;4;2015;29,5
12;4;2015;38,0
13;4;2015;35,0
14;4;2015;37,5
15;4;2015;24,0
16;4;2015;17,5
17;4;2015;27,0
18;4;2015;18,0
19;4;2015;30,0
20;4;2015;31,5
21;4;2015;26,0
22;4;2015;19,0
23;4;2015;24,0
24;4;2015;28,0
25;4;2015;31,0
26;4;2015;16,0
27;4;2015;13,0
28;4;2015;22,0
29;4;2015;24,0
30;4;2015;16,0
1;5;2015;15,5
2;5;2015;20,0
3;5;2015;17,0
4;5;2015;38,0
5;5;2015;41,0
6;5;2015;30,5
7;5;2015;27,5
8;5;2015;14,0
9;5;2015;9,5
10;5;2015;20,0
11;5;2015;21,0
12;5;2015;22,0
13;5;2015;19,5
14;5;2015;15,0
15;5;2015;6,0
16;5;2015;9,5
17;5;2015;22,0
18;5;2015;19,0
19;5;2015;8,5
20;5;2015;5,5
21;5;2015;16,0
22;5;2015;11,0
23;5;2015;9,0
24;5;2015;13,5
25;5;2015;15,5
26;5;2015;11,0
27;5;2015;18,5
28;5;2015;20,5
29;5;2015;14,5
30;5;2015;13,5
31;5;2015;22,0
1;6;2015;14,0
2;6;2015;15,5
3;6;2015;28,5
4;6;2015;24,0
5;6;2015;27,5
6;6;2015;12,5
7;6;2015;11,0
8;6;2015;12,0
9;6;2015;20,0
10;6;2015;25,5
11;6;2015;30,5
12;6;2015;30,0
13;6;2015;13,5
14;6;2015;18,0
15;6;2015;7,5
16;6;2015;11,0
17;6;2015;19,5
18;6;2015;26,5
19;6;2015;12,5
20;6;2015;9,5
21;6;2015;11,5
22;6;2015;13,0
23;6;2015;4,0
24;6;2015;10,0
25;6;2015;13,5
26;6;2015;15,0
27;6;2015;10,0
28;6;2015;9,5
29;6;2015;12,0
30;6;2015;18,5
1;7;2015;18,0
2;7;2015;18,0
3;7;2015;15,0
4;7;2015;18,5
5;7;2015;25,5
6;7;2015;25,0
7;7;2015;17,5
8;7;2015;9,0
9;7;2015;6,0
10;7;2015;10,0
11;7;2015;16,0
12;7;2015;16,5
13;7;2015;14,0
14;7;2015;21,0
15;7;2015;19,5
16;7;2015;14,0
17;7;2015;12,5
18;7;2015;12,0
19;7;2015;14,5
20;7;2015;17,5
21;7;2015;19,5
22;7;2015;11,5
23;7;2015;18,0
24;7;2015;13,0
25;7;2015;6,0
26;7;2015;14,0
27;7;2015;15,0
28;7;2015;10,5
29;7;2015;13,0
30;7;2015;6,5
31;7;2015;9,5
1;8;2015;12,0
2;8;2015;16,0
3;8;2015;17,5
4;8;2015;19,0
5;8;2015;19,5
6;8;2015;25,0
7;8;2015;23,0
8;8;2015;11,0
9;8;2015;15,5
10;8;2015;17,0
11;8;2015;26,5
12;8;2015;27,0
13;8;2015;24,0
14;8;2015;11,5
15;8;2015;6,5
16;8;2015;7,5
17;8;2015;7,0
18;8;2015;7,5
19;8;2015;9,0
20;8;2015;9,5
21;8;2015;13,5
22;8;2015;13,0
23;8;2015;21,0
24;8;2015;17,0
25;8;2015;16,5
26;8;2015;18,0
27;8;2015;18,5
28;8;2015;21,0
29;8;2015;19,0
30;8;2015;21,0
31;8;2015;19,0
1;9;2015;17,0
2;9;2015;13,0
3;9;2015;10,5
4;9;2015;6,5
5;9;2015;7,0
6;9;2015;12,0
7;9;2015;14,5
8;9;2015;13,5
9;9;2015;18,0
10;9;2015;17,0
11;9;2015;22,0
12;9;2015;20,0
13;9;2015;15,0
14;9;2015;12,5
15;9;2015;9,5
16;9;2015;19,0
17;9;2015;15,0
18;9;2015;14,5
19;9;2015;11,0
20;9;2015;15,0
21;9;2015;17,5
22;9;2015;11,5
23;9;2015;11,5
24;9;2015;15,5
25;9;2015;17,0
26;9;2015;13,5
27;9;2015;10,5
28;9;2015;11,5
29;9;2015;17,5
30;9;2015;16,0
1;10;2015;19,5
2;10;2015;21,5
3;10;2015;21,5
4;10;2015;20,0
5;10;2015;29,0
6;10;2015;29,5
7;10;2015;9,5
8;10;2015;23,0
9;10;2015;15,5
10;10;2015;21,5
11;10;2015;27,5
12;10;2015;18,0
13;10;2015;10,0
14;10;2015;13,0
15;10;2015;11,5
16;10;2015;24,0
17;10;2015;31,5
18;10;2015;38,0
19;10;2015;23,5
20;10;2015;31,0
21;10;2015;26,5
22;10;2015;45,0
23;10;2015;62,0
24;10;2015;70,0
25;10;2015;74,0
26;10;2015;58,0
27;10;2015;36,0
28;10;2015;20,0
29;10;2015;30,0
30;10;2015;29,5
31;10;2015;32,5
1;11;2015;
2;11;2015;60,0
3;11;2015;43,0
4;11;2015;38,0
5;11;2015;55,5
6;11;2015;59,0
7;11;2015;53,0
8;11;2015;32,5
9;11;2015;38,0
10;11;2015;44,5
11;11;2015;56,0
12;11;2015;73,5
13;11;2015;37,5
14;11;2015;52,0
15;11;2015;49,0
16;11;2015;47,5
17;11;2015;47,0
18;11;2015;31,5
19;11;2015;38,5
20;11;2015;31,5
21;11;2015;13,5
22;11;2015;16,5
23;11;2015;33,5
24;11;2015;54,0
25;11;2015;66,5
26;11;2015;50,5
27;11;2015;50,5
28;11;2015;67,0
29;11;2015;52,5
30;11;2015;71,0
1;12;2015;83,0
