COUNT;Direzione Vento;Radiazione Globale;Temperatura;Umidita Relativa;Velocita Vento;Ammoniaca;Benzene;Monossido di Carbonio;Biossido di Azoto;Ossidi di Azoto;Ozono;PM10;PM2.5;Biossido di Zolfo
2,0;239,39869791666663;91,90555555555555;3,3674768518518485;72,9465277777777;2,6625771604938233;5,8;3,0666666666666664;1,3677083333333335;68,2822916666667;135,09214659685853;19,6875;42,0;33,5;6,570833333333334
5,0;121,59453124999996;99,84236111111109;2,9016203703703694;62,526666666666706;1,960185185185184;6,2;2,8666666666666667;1,5854166666666678;77,10677083333337;194,49427083333333;23,052777777777766;49,33333333333334;43,5;5,904166666666668
1,0;263,2425087108016;115,59825174825173;3,6247099767981448;60,52618384401106;1,894736842105266;5,2;3,5;1,6093750000000009;66,83854166666667;147,33333333333331;24,04166666666665;45,0;32,5;6,095833333333335
2,0;225,1243923611113;117,39479166666666;4,301736111111107;48,38319444444448;1,5568672839506164;6,1;3,1;1,7802083333333334;85,91666666666669;246,97708333333333;19,11944444444444;61,0;48,0;5,433333333333334
3,0;111,65199652777781;22,20104166666667;3,3082175925925945;66,02277777777779;2,195447530864198;6,9;2,95;1,634375;77,50624999999998;187,24114583333332;16,505555555555556;55,0;40,5;3,8625
3,0;224,36996527777785;38,973611111111104;5,376851851851843;56,59625000000005;1,7600308641975289;6,7;2,3;1,545833333333334;78,71666666666668;182,99843749999997;16,266666666666666;19,33333333333333;13,5;4,779166666666668
1,0;164,79574652777785;5,451388888888888;2,474074074074082;84,90152777777774;1,649845679012346;7,7;3,05;1,4385416666666668;65,428125;132,68906250000006;17,338888888888892;20,0;18,5;3,058333333333333
3,0;201,34696180555574;19,662847222222226;1,6892361111111138;96,94624447717231;1,1888888888888858;5,9;1,9666666666666668;1,6166666666666671;78,92499999999998;216,1145833333335;11,894444444444444;24,66666666666667;21,0;2,916666666666666
3,0;191,22369791666648;56,803819444444436;2,831712962962964;89,93010432190773;1,6000771604938278;4,7;2,1;1,442708333333333;62,6036458333333;99,35520833333337;27,34166666666668;37,0;35,5;0,9458333333333332
2,0;206,84791666666652;100,803125;3,2354166666666635;70,04388888888882;2,9158950617283854;4,9;2,766666666666667;1,4395833333333332;53,75208333333333;88,87447916666667;25,894444444444453;56,0;47,5;1,8291666666666664
6,0;174,19722222222245;123,24479166666669;3,886111111111106;62,27333333333332;2,0775462962962954;6,1;3,65;1,6604166666666662;77,5645833333333;165,38802083333331;23,530555555555548;92,33333333333331;78,5;1,7374999999999998
1,0;119,59826388888894;128,0177083333333;4,649652777777781;63,97666666666668;1,5290123456790108;8,8;4,5;1,8635416666666669;98,24843749999997;224,19427083333323;11,442857142857143;111,66666666666669;92,0;1,825
2,0;197,2680555555554;120,26701388888887;5,670370370370373;65,88916666666661;1,2378086419753065;8,8;5,366666666666667;2,111458333333334;107,09479166666672;273,3265625000001;10,695833333333333;131,33333333333334;123,5;2,5
2,0;108,78611111111105;112,21493055555555;4,747337962962966;76,42805555555566;1,7486882716049366;9,5;3,9666666666666655;2,2590361445783134;109,87374301675979;301,06871508379885;22,359154929577464;141,33333333333334;134,5;1,8166666666666669
1,0;177,52656249999984;37,01319444444445;5,846064814814807;79,00138888888907;1,195987654320987;7,6;2,625;1,8105882352941167;91,01270718232044;207,3138121546962;8,997959183673471;60,33333333333334;50,0;2,516666666666667
1,0;74,62361111111113;12,273958333333335;4,257754629629623;94,81222222222205;1,9365740740740756;6,6;2,5;1,4770833333333335;69,4536458333333;123,12656250000002;15,15211267605634;24,0;20,0;1,8583333333333327
4,0;166,4410590277781;11,77708333333333;4,2663194444444414;95,91736111111109;1,5000771604938252;7,3;3,2;1,4854166666666666;60,76562499999998;113,5135416666667;13,377777777777775;36,333333333333336;23,5;2,2
2,0;226,16258680555526;41,46458333333335;7,445717592592598;83,47472222222235;1,5779320987654315;6,6;2,825;1,7395833333333333;84,44583333333333;219,8036458333333;15,44444444444444;51,66666666666666;41,5;2,5708333333333333
4,0;168,14913043478282;121,802787456446;9,017265353418317;63,7894297635605;1,55950540958269;4,8;2,45;1,5760416666666666;78,18802083333338;170,41458333333333;25,390277777777786;58,0;46,0;3,1708333333333343
3,0;112,1506076388888;136,73263888888889;6,7452546296296285;62,794861111111146;1,921296296296296;6,3;3,8;1,4718750000000007;73,13333333333331;119,92135416666662;32,0013888888889;84,0;69,0;0,9909090909090912
5,0;188,24253472222225;135,66805555555555;6,209953703703699;69,66819444444441;1,3038580246913576;6,4;3,95;1,795833333333334;90,31822916666664;203,3958333333336;22,79583333333333;76,33333333333333;63,5;2,125
3,0;201,31808695652177;132,09721254355404;6,869988412514486;70,97482614742694;1,4350077279752702;5,1;1,6333333333333335;1,8322916666666669;85,4395833333333;222,1536458333332;32,79999999999998;57,0;52,0;3,3166666666666664
4,0;96,71718464351014;14,166319444444447;5,899254658385097;85,9707646176908;2,8570987654321023;5,0;1,1;1,4145833333333346;58,29635416666661;82,10572916666662;31,777777777777786;14,666666666666664;12,5;2,891666666666667
6,0;196,9298611111113;76,30486111111112;6,7965277777777695;85,63072916666627;2,40949074074074;5,4;3,5666666666666664;1,3322916666666662;44,83645833333333;63,082291666666706;42,56666666666669;43,33333333333334;34,0;3,916666666666666
4,0;208,49168173598565;95,24409722222221;7,251533742331293;73,89423929098946;1,2030092592592592;4,7;2,7;1,8937500000000005;84,4520833333333;216,33593749999991;13,823611111111116;27,5;20,5;4,516666666666667
4,0;159,01571180555558;18,24930555555556;7,587615740740741;68,03222222222215;2,3875771604938287;3,2;1,5;1,7385416666666669;80,5953125;196,69322916666653;21,502777777777773;16,5;9,0;4,404166666666667
3,0;184,5946180555556;141,49201388888892;9,38703703703704;47,01180555555558;2,1102623456790126;5,0;2,333333333333333;1,423958333333334;62,99218749999998;119,83541666666677;33,1861111111111;27,66666666666667;20,5;3,2875
2,0;146,1234375000001;102,37152777777777;8,032523148148139;55,48750000000002;1,8578703703703696;6,5;2,533333333333333;1,5843750000000003;75,13229166666672;151,5354166666667;21,345833333333328;52,0;39,0;2,704166666666667
1,0;210,68975694444438;67,67604166666668;8,32326388888889;60,707222222222214;1,371450617283948;7,0;2,8000000000000003;1,6749999999999998;80,4130208333333;172,24635416666672;13,74583333333333;64,66666666666667;51,0;3,795833333333334
10,0;156,7348090277779;86,52048611111111;8,62905092592594;63,22097222222222;1,1777777777777785;8,1;3,5666666666666664;1,7416666666666665;76,82135416666667;165,66927083333314;19,209722222222226;60,33333333333334;47,5;3,3875000000000006
5,0;230,7246515679441;139,51958041958045;9,005336426914152;64,14512534818945;1,6160990712074301;8,8;1,8;1,9125000000000008;74,00885416666667;201,15625000000003;30,68194444444445;39,333333333333336;31,0;3,5916666666666663
4,0;216,5849826388889;58,778125;9,748032407407392;75,88486111111098;1,9169753086419767;6,4;1,7666666666666668;1,6114583333333332;70,33906250000003;113,08749999999996;23,347222222222232;35,333333333333336;28,5;3,4875000000000003
6,0;151,9532118055557;174,69930555555553;10,423148148148153;54,501944444444455;2,5419753086419745;8,0;2,1666666666666665;1,5739583333333331;66,50312500000001;126,17708333333326;28,99027777777778;53,0;43,0;2,8083333333333336
5,0;174,72552083333343;115,21666666666664;8,61840277777778;75,42736111111115;2,0677469135802435;2,3;0,9;1,7229166666666664;62,2010416666667;133,04375;23,40416666666665;13,666666666666664;10,0;2,4666666666666663
