DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
1;1;2017;58,5;62,5;45,5;8,5;15,5;29,5;6;;;;;;;;
2;1;2017;62,5;45,5;8,5;15,5;29,5;22,5;2;;;0;1;2;3;4;5
3;1;2017;45,5;8,5;15,5;29,5;22,5;67,5;13;;;0,134377099;0,138026434;0,146247471;0,110225938;0,116959363;0,120577378
4;1;2017;8,5;15,5;29,5;22,5;67,5;50,5;4;;;;;;;;
5;1;2017;15,5;29,5;22,5;67,5;50,5;28,5;6;;;;;;;;
6;1;2017;29,5;22,5;67,5;50,5;28,5;47;6;;;;;;;;
7;1;2017;22,5;67,5;50,5;28,5;47;32;7;;;;;;;;
8;1;2017;67,5;50,5;28,5;47;32;11;3;;;;;;;;
9;1;2017;50,5;28,5;47;32;11;25;5;;;;;;;;
10;1;2017;28,5;47;32;11;25;17;6;;;;;;;;
11;1;2017;47;32;11;25;17;28;7;;;;;;;;
12;1;2017;32;11;25;17;28;46;7;;;;;;;;
13;1;2017;11;25;17;28;46;43;7;;;;;;;;
14;1;2017;25;17;28;46;43;53,5;8;;;;;;;;
15;1;2017;17;28;46;43;53,5;75,5;3;;;;;;;;
16;1;2017;28;46;43;53,5;75,5;54;7;;;;;;;;
17;1;2017;46;43;53,5;75,5;54;48,5;8;;;;;;;;
18;1;2017;43;53,5;75,5;54;48,5;53;4;;;;;;;;
19;1;2017;53,5;75,5;54;48,5;53;42;5;;;;;;;;
20;1;2017;75,5;54;48,5;53;42;50;2;;;;;;;;
21;1;2017;54;48,5;53;42;50;54;9;;;;;;;;
22;1;2017;48,5;53;42;50;54;79;3;;;;;;;;
23;1;2017;53;42;50;54;79;113;6;;;;;;;;
24;1;2017;42;50;54;79;113;147;7;;;;;;;;
25;1;2017;50;54;79;113;147;123;4;;;;;;;;
26;1;2017;54;79;113;147;123;120;5;;;;;;;;
27;1;2017;79;113;147;123;120;91,5;4;;;;;;;;
28;1;2017;113;147;123;120;91,5;35,5;7;;;;;;;;
29;1;2017;147;123;120;91,5;35,5;30,5;2;;;;;;;;
30;1;2017;123;120;91,5;35,5;30,5;36,5;4;;;;;;;;
31;1;2017;120;91,5;35,5;30,5;36,5;34,5;5;;;;;;;;
1;2;2017;91,5;35,5;30,5;36,5;34,5;31;4;;;;;;;;
2;2;2017;35,5;30,5;36,5;34,5;31;27;7;;;;;;;;
3;2;2017;30,5;36,5;34,5;31;27;26,5;12;;;;;;;;
4;2;2017;36,5;34,5;31;27;26,5;30,5;2;;;;;;;;
5;2;2017;34,5;31;27;26,5;30,5;44,5;10;;;;;;;;
6;2;2017;31;27;26,5;30,5;44,5;46,5;7;;;;;;;;
7;2;2017;27;26,5;30,5;44,5;46,5;43;3;;;;;;;;
8;2;2017;26,5;30,5;44,5;46,5;43;36;2;;;;;;;;
9;2;2017;30,5;44,5;46,5;43;36;46;4;;;;;;;;
10;2;2017;44,5;46,5;43;36;46;41;5;;;;;;;;
11;2;2017;46,5;43;36;46;41;33,5;4;;;;;;;;
12;2;2017;43;36;46;41;33,5;71,5;6;;;;;;;;
13;2;2017;36;46;41;33,5;71,5;61,5;2;;;;;;;;
14;2;2017;46;41;33,5;71,5;61,5;54,5;3;;;;;;;;
15;2;2017;41;33,5;71,5;61,5;54,5;45;4;;;;;;;;
16;2;2017;33,5;71,5;61,5;54,5;45;70;4;;;;;;;;
17;2;2017;71,5;61,5;54,5;45;70;57;6;;;;;;;;
18;2;2017;61,5;54,5;45;70;57;71,5;11;;;;;;;;
19;2;2017;54,5;45;70;57;71,5;20;11;;;;;;;;
20;2;2017;45;70;57;71,5;20;36;7;;;;;;;;
21;2;2017;70;57;71,5;20;36;35;11;;;;;;;;
22;2;2017;57;71,5;20;36;35;38;4;;;;;;;;
23;2;2017;71,5;20;36;35;38;17;2;;;;;;;;
24;2;2017;20;36;35;38;17;24,5;3;;;;;;;;
25;2;2017;36;35;38;17;24,5;35,5;5;;;;;;;;
26;2;2017;35;38;17;24,5;35,5;24;1;;;;;;;;
27;2;2017;38;17;24,5;35,5;24;9,5;1;;;;;;;;
28;2;2017;17;24,5;35,5;24;9,5;24;2;;;;;;;;
1;3;2017;24,5;35,5;24;9,5;24;13;5;;;;;;;;
2;3;2017;35,5;24;9,5;24;13;14,5;6;;;;;;;;
3;3;2017;24;9,5;24;13;14,5;26;9;;;;;;;;
4;3;2017;9,5;24;13;14,5;26;27;6;;;;;;;;
5;3;2017;24;13;14,5;26;27;18;6;;;;;;;;
6;3;2017;13;14,5;26;27;18;16;4;;;;;;;;
7;3;2017;14,5;26;27;18;16;19,5;7;;;;;;;;
8;3;2017;26;27;18;16;19,5;39;3;;;;;;;;
9;3;2017;27;18;16;19,5;39;57,5;6;;;;;;;;
10;3;2017;18;16;19,5;39;57,5;80;6;;;;;;;;
11;3;2017;16;19,5;39;57,5;80;78,5;6;;;;;;;;
12;3;2017;19,5;39;57,5;80;78,5;23;4;;;;;;;;
13;3;2017;39;57,5;80;78,5;23;29;4;;;;;;;;
14;3;2017;57,5;80;78,5;23;29;60;5;;;;;;;;
15;3;2017;80;78,5;23;29;60;67,5;3;;;;;;;;
16;3;2017;78,5;23;29;60;67,5;45;3;;;;;;;;
17;3;2017;23;29;60;67,5;45;36;8;;;;;;;;
18;3;2017;29;60;67,5;45;36;20;4;;;;;;;;
19;3;2017;60;67,5;45;36;20;42;5;;;;;;;;
20;3;2017;67,5;45;36;20;42;12,5;7;;;;;;;;
21;3;2017;45;36;20;42;12,5;21;3;;;;;;;;
22;3;2017;36;20;42;12,5;21;28;4;;;;;;;;
23;3;2017;20;42;12,5;21;28;25;2;;;;;;;;
24;3;2017;42;12,5;21;28;25;26;2;;;;;;;;
25;3;2017;12,5;21;28;25;26;38,5;7;;;;;;;;
26;3;2017;21;28;25;26;38,5;25;5;;;;;;;;
27;3;2017;28;25;26;38,5;25;30;4;;;;;;;;
28;3;2017;25;26;38,5;25;30;25;5;;;;;;;;
29;3;2017;26;38,5;25;30;25;28;10;;;;;;;;
30;3;2017;38,5;25;30;25;28;16;5;;;;;;;;
31;3;2017;25;30;25;28;16;24;7;;;;;;;;
1;4;2017;30;25;28;16;24;27;2;;;;;;;;
2;4;2017;25;28;16;24;27;36;1;;;;;;;;
