DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
2;3;2017;1,084722222;1,077777778;0,786111111;0,733333333;0,975757576;0,845833333;6;;;;;;;
3;3;2017;1,077777778;0,786111111;0,733333333;0,975757576;0,845833333;1,131944444;9;;;;;;;
4;3;2017;0,786111111;0,733333333;0,975757576;0,845833333;1,131944444;1,397959184;6;;;;;;;
5;3;2017;0,733333333;0,975757576;0,845833333;1,131944444;1,397959184;1,029166667;6;;;;;;;
6;3;2017;0,975757576;0,845833333;1,131944444;1,397959184;1,029166667;0,825;4;;;;;;;
7;3;2017;0,845833333;1,131944444;1,397959184;1,029166667;0,825;0,854166667;7;;;;;;;
8;3;2017;1,131944444;1,397959184;1,029166667;0,825;0,854166667;0,889583333;3;;;;;;;
9;3;2017;1,397959184;1,029166667;0,825;0,854166667;0,889583333;1,225;6;;;;;;;
10;3;2017;1,029166667;0,825;0,854166667;0,889583333;1,225;1,197916667;6;;;;;;;
11;3;2017;0,825;0,854166667;0,889583333;1,225;1,197916667;1,208333333;6;;;;;;;
12;3;2017;0,854166667;0,889583333;1,225;1,197916667;1,208333333;0,945;4;;;;;;;
13;3;2017;0,889583333;1,225;1,197916667;1,208333333;0,945;0,487323944;4;;;;;;;
14;3;2017;1,225;1,197916667;1,208333333;0,945;0,487323944;0,552777778;5;;;;;;;
15;3;2017;1,197916667;1,208333333;0,945;0,487323944;0,552777778;0,8125;3;;;;;;;
16;3;2017;1,208333333;0,945;0,487323944;0,552777778;0,8125;0,894029851;3;;;;;;;
17;3;2017;0,945;0,487323944;0,552777778;0,8125;0,894029851;0,731944444;8;;;;;;;
18;3;2017;0,487323944;0,552777778;0,8125;0,894029851;0,731944444;0,808333333;4;;;;;;;
19;3;2017;0,552777778;0,8125;0,894029851;0,731944444;0,808333333;0,876388889;5;;;;;;;
20;3;2017;0,8125;0,894029851;0,731944444;0,808333333;0,876388889;0,7625;7;;;;;;;
21;3;2017;0,894029851;0,731944444;0,808333333;0,876388889;0,7625;0,623611111;3;;;;;;;
22;3;2017;0,731944444;0,808333333;0,876388889;0,7625;0,623611111;0,725;4;;;;;;;
23;3;2017;0,808333333;0,876388889;0,7625;0,623611111;0,725;0,9375;2;;;;;;;
24;3;2017;0,876388889;0,7625;0,623611111;0,725;0,9375;1,316901408;2;;;;;;;
25;3;2017;0,7625;0,623611111;0,725;0,9375;1,316901408;1,216666667;7;;;;;;;
26;3;2017;0,623611111;0,725;0,9375;1,316901408;1,216666667;0,923611111;5;;;;;;;
27;3;2017;0,725;0,9375;1,316901408;1,216666667;0,923611111;0,579166667;4;;;;;;;
28;3;2017;0,9375;1,316901408;1,216666667;0,923611111;0,579166667;0,648611111;5;;;;;;;
29;3;2017;1,316901408;1,216666667;0,923611111;0,579166667;0,648611111;0,813888889;10;;;;;;;
30;3;2017;1,216666667;0,923611111;0,579166667;0,648611111;0,813888889;0,863888889;5;;;;;;;
31;3;2017;0,923611111;0,579166667;0,648611111;0,813888889;0,863888889;0,706944444;7;;;;;;;
1;4;2017;0,579166667;0,648611111;0,813888889;0,863888889;0,706944444;0,816666667;2;;;;;;;
2;4;2017;0,648611111;0,813888889;0,863888889;0,706944444;0,816666667;0,815277778;1;;;;;;;
3;4;2017;0,813888889;0,863888889;0,706944444;0,816666667;0,815277778;0,841666667;8;;;;;;;
4;4;2017;0,863888889;0,706944444;0,816666667;0,815277778;0,841666667;0,854166667;7;;;;;;;
5;4;2017;0,706944444;0,816666667;0,815277778;0,841666667;0,854166667;0,855555556;5;;;;;;;
6;4;2017;0,816666667;0,815277778;0,841666667;0,854166667;0,855555556;0,740277778;6;;;;;;;
7;4;2017;0,815277778;0,841666667;0,854166667;0,855555556;0,740277778;0,758333333;10;;;;;;;
8;4;2017;0,841666667;0,854166667;0,855555556;0,740277778;0,758333333;0,658333333;8;;;;;;;
9;4;2017;0,854166667;0,855555556;0,740277778;0,758333333;0,658333333;0,681944444;4;;;;;;;
10;4;2017;0,855555556;0,740277778;0,758333333;0,658333333;0,681944444;0,641666667;3;;;;;;;
11;4;2017;0,740277778;0,758333333;0,658333333;0,681944444;0,641666667;0,588888889;6;;;;;;;
12;4;2017;0,758333333;0,658333333;0,681944444;0,641666667;0,588888889;0,561111111;6;;;;;;;
13;4;2017;0,658333333;0,681944444;0,641666667;0,588888889;0,561111111;0,644444444;2;;;;;;;
14;4;2017;0,681944444;0,641666667;0,588888889;0,561111111;0,644444444;0,6375;1;;;;;;;
15;4;2017;0,641666667;0,588888889;0,561111111;0,644444444;0,6375;0,683333333;1;;;;;;;
16;4;2017;0,588888889;0,561111111;0,644444444;0,6375;0,683333333;0,723611111;2;;;;;;;
17;4;2017;0,561111111;0,644444444;0,6375;0,683333333;0,723611111;0,704166667;4;;;;;;;
18;4;2017;0,644444444;0,6375;0,683333333;0,723611111;0,704166667;0,629166667;2;;;;;;;
19;4;2017;0,6375;0,683333333;0,723611111;0,704166667;0,629166667;0,725;5;;;;;;;
20;4;2017;0,683333333;0,723611111;0,704166667;0,629166667;0,725;0,744444444;8;;;;;;;
21;4;2017;0,723611111;0,704166667;0,629166667;0,725;0,744444444;0,854166667;5;;;;;;;
22;4;2017;0,704166667;0,629166667;0,725;0,744444444;0,854166667;0,913888889;2;;;;;;;
23;4;2017;0,629166667;0,725;0,744444444;0,854166667;0,913888889;0,725;6;;;;;;;
24;4;2017;0,725;0,744444444;0,854166667;0,913888889;0,725;0,748611111;5;;;;;;;
25;4;2017;0,744444444;0,854166667;0,913888889;0,725;0,748611111;0,693055556;5;;;;;;;
26;4;2017;0,854166667;0,913888889;0,725;0,748611111;0,693055556;0,727777778;6;;;;;;;
27;4;2017;0,913888889;0,725;0,748611111;0,693055556;0,727777778;0,841666667;7;;;;;;;
28;4;2017;0,725;0,748611111;0,693055556;0,727777778;0,841666667;0,848611111;8;;;;;;;
29;4;2017;0,748611111;0,693055556;0,727777778;0,841666667;0,848611111;0,806944444;3;;;;;;;
30;4;2017;0,693055556;0,727777778;0,841666667;0,848611111;0,806944444;0,981944444;4;;;;;;;
1;5;2017;0,727777778;0,841666667;0,848611111;0,806944444;0,981944444;0,941666667;3;;;;;;;
2;5;2017;0,841666667;0,848611111;0,806944444;0,981944444;0,941666667;0,865277778;7;;;;;;;
3;5;2017;0,848611111;0,806944444;0,981944444;0,941666667;0,865277778;1,027777778;8;;;;;;;
4;5;2017;0,806944444;0,981944444;0,941666667;0,865277778;1,027777778;0,869444444;5;;;;;;;
5;5;2017;0,981944444;0,941666667;0,865277778;1,027777778;0,869444444;0,826388889;11;;;;;;;
