;IdSensore;NomeTipoSensore_x;UnitaMisura_x;Idstazione_x;NomeStazione_x;Quota_x;Provincia_x;Comune_x;Storico_x;DataStart_x;DataStop_x;Utm_Nord_x;UTM_Est_x;lat_x;lng_x;location_x;Valore;DATE_TIME;NomeTipoSensore_y;UnitaMisura_y;Idstazione_y;NomeStazione_y;Quota_y;Provincia_y;Comune_y;Storico_y;DataStart_y;DataStop_y;Utm_Nord_y;UTM_Est_y;lat_y;lng_y;location_y
55;10173;PM10 (SM2005);µg/m³;703;Schivenoglia;;MN;Schivenoglia;N;01/01/2007;;4986922;663580;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049);28.0;2016-11-14;PM10 (SM2005);µg/m³;703.0;Schivenoglia;;MN;Schivenoglia;N;01/01/2007;;4986922.0;663580.0;45.01687782075543;11.07609463264049;(45.016877820755425, 11.07609463264049)
28;10185;PM10 (SM2005);µg/m³;704;Sermide - via Dalla Chiesa;11.0;MN;Sermide;S;01/01/2007;01/01/2017;4986023;680789;45.0046137311141;11.294014707706845;(45.004613731114105, 11.294014707706845);33.0;2016-11-14;PM10 (SM2005);µg/m³;704.0;Sermide - via Dalla Chiesa;11.0;MN;Sermide;S;01/01/2007;01/01/2017;4986023.0;680789.0;45.0046137311141;11.294014707706845;(45.004613731114105, 11.294014707706845)
39;10273;PM10 (SM2005);µg/m³;705;Milano - Pascal Città Studi;122.0;MI;Milano;N;21/04/2007;;5036190;518405;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502);48.0;2016-11-14;PM10 (SM2005);µg/m³;705.0;Milano - Pascal Città Studi;122.0;MI;Milano;N;21/04/2007;;5036190.0;518405.0;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502)
18;10290;PM10 (SM2005);µg/m³;706;Lecco - Via Sora;272.0;LC;Lecco;N;31/12/2000;;5078987;531045;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852);39.0;2016-11-14;PM10 (SM2005);µg/m³;706.0;Lecco - Via Sora;272.0;LC;Lecco;N;31/12/2000;;5078987.0;531045.0;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852)
5;10320;PM10 (SM2005);µg/m³;548;Milano - via Senato;118.0;MI;Milano;N;10/08/2007;;5035238;515435;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531);44.0;2016-11-14;PM10 (SM2005);µg/m³;548.0;Milano - via Senato;118.0;MI;Milano;N;10/08/2007;;5035238.0;515435.0;45.470499014097;9.197460360112533;(45.470499014097, 9.197460360112531)
54;10335;PM10 (SM2005);µg/m³;709;Vigevano - via Valletta;109.0;PV;Vigevano;N;08/08/2007;;5016690;487833;45.303607869655714;8.844804609965438;(45.303607869655714, 8.844804609965438);39.0;2016-11-14;PM10 (SM2005);µg/m³;709.0;Vigevano - via Valletta;109.0;PV;Vigevano;N;08/08/2007;;5016690.0;487833.0;45.303607869655714;8.844804609965438;(45.303607869655714, 8.844804609965438)
33;10339;PM10 (SM2005);µg/m³;629;Crema - via XI febbraio;79.0;CR;Crema;N;25/09/2007;;5023885;555127;45.36630907819434;9.703945513613167;(45.366309078194334, 9.703945513613167);46.0;2016-11-14;PM10 (SM2005);µg/m³;629.0;Crema - via XI febbraio;79.0;CR;Crema;N;25/09/2007;;5023885.0;555127.0;45.36630907819434;9.703945513613167;(45.366309078194334, 9.703945513613167)
52;10343;PM10 (SM2005);µg/m³;708;Parona;112.0;PV;Parona;N;28/09/2007;;5014300;480733;45.281935610357905;8.754334594539825;(45.281935610357905, 8.754334594539825);39.0;2016-11-14;PM10 (SM2005);µg/m³;708.0;Parona;112.0;PV;Parona;N;28/09/2007;;5014300.0;480733.0;45.281935610357905;8.754334594539825;(45.281935610357905, 8.754334594539825)
43;10352;PM10 (SM2005);µg/m³;517;Turbigo;141.0;MI;Turbigo;N;01/01/2008;;5041480;479423;45.52655086994246;8.736496578379215;(45.52655086994247, 8.736496578379215);35.0;2016-11-14;PM10 (SM2005);µg/m³;517.0;Turbigo;141.0;MI;Turbigo;N;01/01/2008;;5041480.0;479423.0;45.52655086994246;8.736496578379215;(45.52655086994247, 8.736496578379215)
79;10354;PM10 (SM2005);µg/m³;516;Robecchetto;135.0;MI;Robecchetto con Induno;S;27/06/2008;01/01/2017;5040503;481768;45.51782219008839;8.766562109244964;(45.51782219008838, 8.766562109244964);47.0;2016-11-14;PM10 (SM2005);µg/m³;516.0;Robecchetto;135.0;MI;Robecchetto con Induno;S;27/06/2008;01/01/2017;5040503.0;481768.0;45.51782219008839;8.766562109244964;(45.51782219008838, 8.766562109244964)
63;10390;PM10 (SM2005);µg/m³;556;Gallarate - P.zza S.Lorenzo;240.0;VA;Gallarate;S;01/01/2003;01/01/2017;5056010;484229;45.657459825030365;8.797570832831468;(45.65745982503037, 8.797570832831466);55.0;2016-11-14;PM10 (SM2005);µg/m³;556.0;Gallarate - P.zza S.Lorenzo;240.0;VA;Gallarate;S;01/01/2003;01/01/2017;5056010.0;484229.0;45.657459825030365;8.797570832831468;(45.65745982503037, 8.797570832831466)
6;10405;PM10 (SM2005);µg/m³;584;Bergamo - via Garibaldi;249.0;BG;Bergamo;N;19/12/2008;;5060449;551482;45.69568034432694;9.66124914606551;(45.69568034432694, 9.66124914606551);39.0;2016-11-14;PM10 (SM2005);µg/m³;584.0;Bergamo - via Garibaldi;249.0;BG;Bergamo;N;19/12/2008;;5060449.0;551482.0;45.69568034432694;9.66124914606551;(45.69568034432694, 9.66124914606551)
50;10483;PM10 (SM2005);µg/m³;1265;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706;538829;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324);41.0;2016-11-14;PM10 (SM2005);µg/m³;1265.0;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706.0;538829.0;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324)
42;10484;PM10 (SM2005);µg/m³;1266;Bertonico;65.0;LO;Bertonico;N;03/08/2009;;5009105;552297;45.23349364130374;9.666250375296034;(45.23349364130374, 9.666250375296032);38.0;2016-11-14;PM10 (SM2005);µg/m³;1266.0;Bertonico;65.0;LO;Bertonico;N;03/08/2009;;5009105.0;552297.0;45.23349364130374;9.666250375296034;(45.23349364130374, 9.666250375296032)
46;10501;PM10 (SM2005);µg/m³;655;Darfo (aria);221.0;BS;Darfo Boario Terme;N;23/12/2008;;5080789;591371;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138);52.0;2016-11-14;PM10 (SM2005);µg/m³;655.0;Darfo (aria);221.0;BS;Darfo Boario Terme;N;23/12/2008;;5080789.0;591371.0;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138)
72;10548;PM10 (SM2005);µg/m³;1269;Dalmine - via Verdi;207.0;BG;Dalmine;N;26/02/2010;;5055304;546847;45.649702512362474;9.601223338785262;(45.64970251236247, 9.601223338785262);44.0;2016-11-14;PM10 (SM2005);µg/m³;1269.0;Dalmine - via Verdi;207.0;BG;Dalmine;N;26/02/2010;;5055304.0;546847.0;45.64970251236248;9.601223338785262;(45.64970251236247, 9.601223338785262)
21;12028;PM10 (SM2005);µg/m³;642;Pavia - via Folperti;77.0;PV;Pavia;N;04/02/2011;;5004590;512932;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086);33.0;2016-11-14;PM10 (SM2005);µg/m³;642.0;Pavia - via Folperti;77.0;PV;Pavia;N;04/02/2011;;5004590.0;512932.0;45.19467609907785;9.164638300630086;(45.19467609907785, 9.164638300630086)
60;12531;PM10 (SM2005);µg/m³;1297;Spinadesco;48.0;CR;Spinadesco;N;16/02/2011;;5000087;573153;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326);37.0;2016-11-14;PM10 (SM2005);µg/m³;1297.0;Spinadesco;48.0;CR;Spinadesco;N;16/02/2011;;5000087.0;573153.0;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326)
80;12584;PM10 (SM2005);µg/m³;627;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;01/01/2012;;4998110;579872;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042);31.0;2016-11-14;PM10 (SM2005);µg/m³;627.0;Cremona - p.zza Cadorna;39.0;CR;Cremona;N;01/01/2012;;4998110.0;579872.0;45.131946912851724;10.015741513336044;(45.13194691285173, 10.015741513336042)
66;12585;PM10 (SM2005);µg/m³;1303;Cremona - via Gerre Borghi;36.0;CR;Cremona;S;01/01/2012;01/01/2017;4995675;584111;45.10953938027215;10.069230734956498;(45.10953938027215, 10.069230734956498);35.0;2016-11-14;PM10 (SM2005);µg/m³;1303.0;Cremona - via Gerre Borghi;36.0;CR;Cremona;S;01/01/2012;01/01/2017;4995675.0;584111.0;45.10953938027215;10.069230734956498;(45.10953938027215, 10.069230734956498)
15;17290;PM10 (SM2005);µg/m³;1374;Monza Parco;181.0;MB;Monza;N;15/02/2013;;5049780;521452;45.60123219955139;9.27507265782848;(45.60123219955139, 9.27507265782848);45.0;2016-11-14;PM10 (SM2005);µg/m³;1374.0;Monza Parco;181.0;MB;Monza;N;15/02/2013;;5049780.0;521452.0;45.60123219955139;9.27507265782848;(45.60123219955139, 9.27507265782848)
88;17293;PM10 (SM2005);µg/m³;1264;Sondrio - via Paribelli;290.0;SO;Sondrio;N;09/10/2012;;5113073;567873;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903);36.0;2016-11-14;PM10 (SM2005);µg/m³;1264.0;Sondrio - via Paribelli;290.0;SO;Sondrio;N;09/10/2012;;5113073.0;567873.0;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903)
56;20155;PM10 (SM2005);µg/m³;690;Casoni - AGIP;73.0;PV;Mezzana Bigli;N;20/11/2013;;4990697;489679;45.06965864138592;8.868889299439221;(45.069658641385914, 8.86888929943922);33.0;2016-11-14;PM10 (SM2005);µg/m³;690.0;Casoni - AGIP;73.0;PV;Mezzana Bigli;N;20/11/2013;;4990697.0;489679.0;45.06965864138592;8.868889299439221;(45.069658641385914, 8.86888929943922)
61;20197;PM10 (SM2005);µg/m³;598;S.Rocco al Porto;50.0;LO;San Rocco al Porto;N;01/01/2002;;4992297;555154;45.08198669697864;9.70078817718398;(45.081986696978625, 9.70078817718398);44.0;2016-11-14;PM10 (SM2005);µg/m³;598.0;S.Rocco al Porto;50.0;LO;San Rocco al Porto;N;01/01/2002;;4992297.0;555154.0;45.081986696978646;9.70078817718398;(45.081986696978625, 9.70078817718398)
